"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"RubГ©n Sobrino","forward","AlavГ©s","19b776e9","25","2017","76","1.53","-1.3","14.7","4.3","0.17","71.3","774","0.8","29","13","2.45","26","8","0.31","22.2","14","51","0","13","48","64.1","29","82","42.9","9","16","25","-0.82","5","0","37","76","44.3","0","0","1","625"
"Ryan Bertrand","defender","Southampton","1226327","27","2017","79","0.57","-1.7","19.5","1.7","0.08","75.5","8752","0.9","174","136","2.18","54","4","0.2","61.3","70","92","0","87","52","45.9","64","213","91.7","32","34","49","-0.06","2","0","32","146","45.7","1","0","0","729"
"Ryan Fraser","forward","Bournemouth","d56543a0","23","2017","77","1.35","3.2","20.5","1.8","0.06","69.1","4056","-0.3","99","138","3.19","52","1","0.22","35","39","28","0","32","61","43.5","34","168","58.6","15","25","38","-0.41","0","0","6","103","24.2","0","0","1","529"
"RГєben Vezo","defender","Valencia","c67cd65c","23","2017","77","0.17","-0.3","15.7","0.3","0.09","76.4","4877","-0.2","50","15","0.64","8","1","0","50","22","66","0","107","8","64.7","9","27","45.5","16","19","17","-0.07","2","1","23","94","73.6","1","0","0","529"
"Sadio ManГ©","forward","Liverpool","c691bfe2","25","2017","86","2.88","-0.6","15.4","10.6","0.15","78.3","2403","1.6","120","32","4.32","79","13","0.58","13","29","37","0","10","133","64","77","270","64","9","53","20","1.31","3","1","24","111","31","0","0","1","625"
"Samuel Moutoussamy","midfielder","Nantes","af0c835b","20","2017","68","1.04","-0.2","24.1","0.2","0.04","80.4","704","-0.2","26","3","2.51","11","1","0","62.5","0","18","0","7","8","60","9","16","12.6","1","3","4","-0.52","0","0","5","20","66.7","0","1","0","400"
"Samuel Umtiti","defender","Barcelona","3eed9821","23","2017","87","0.37","0.3","11.1","0.7","0.08","91.1","9644","-0.1","112","0","0.41","9","0","0.04","69","13","87","3","165","16","72.7","14","10","64","23","59","17","0.95","7","0","22","141","71.2","1","0","0","529"
"Sanjin PrciД‡","midfielder","Rennes","51c30111","23","2017","73","1.04","0.5","26.5","0.5","0.03","86.7","4330","1.6","118","5","1.5","19","0","0.17","20.5","8","67","0","32","3","50","27","17","45.8","14","25","16","0.38","3","0","14","140","50","0","1","0","529"
"Santiago AscacГ­bar","midfielder","Stuttgart","e26fcca3","20","2017","78","0.42","-0.4","26.7","0.4","0.03","83.1","4059","0.3","92","7","1.21","21","1","0.08","55.4","24","138","1","55","8","38.5","16","29","77.8","18","26","22","-0.03","11","1","34","161","42.9","0","1","0","400"
"SaГ®f-Eddine Khaoui","midfielder","Troyes","796b1c41","22","2017","72","2.81","1.1","24","4.7","0.06","64.7","3108","-0.6","72","104","3.77","42","11","0.23","30","25","84","0","7","43","61.3","35","103","57.2","7","17","32","-0.3","1","0","40","119","31","0","1","0","484"
"SaЕЎa LukiД‡","midfielder","Levante","c6e8cf1f","20","2017","73","0.18","0","30.1","0","0.02","83.8","1376","-0.6","32","5","1.72","17","0","0.27","31.3","5","38","0","28","4","71.4","7","11","29.1","6","16","23","-0.9","4","0","24","60","48","0","1","0","400"
"Scott McTominay","midfielder","Manchester Utd","d93c2511","20","2017","71","0.14","0","25.3","0","0.03","87","1409","0","48","4","0.99","6","0","0","38.5","6","24","0","9","5","62.5","5","8","18.5","6","8","3","0.19","2","0","7","44","52.4","0","1","0","400"
"Sead KolaЕЎinac","defender","Arsenal","3935e52e","24","2017","80","0.88","-0.2","13.2","2.2","0.11","79.4","5821","0.5","105","42","2.1","41","3","0.25","51.3","38","75","0","56","86","54.5","52","186","62.8","19","49","30","0.71","3","0","32","134","59.5","1","0","0","576"
"Sebastian Rudy","midfielder","Bayern Munich","80f36c88","27","2017","81","1.13","0.1","23.6","0.9","0.05","87.2","4883","2.6","121","37","2.67","33","0","0.48","50.9","19","68","1","16","9","42.9","16","44","49.5","13","46","17","1.32","2","0","21","81","72","0","1","0","729"
"Seko Fofana","midfielder","Udinese","5313ed43","22","2017","75","1.93","0.3","25.6","2.5","0.04","83.2","3484","-1.1","90","9","2.6","34","14","0.29","20","13","47","1","26","16","66.7","47","61","54.6","12","27","39","-0.26","4","1","27","165","47.4","0","1","0","484"
"Serge Gnabry","forward","Hoffenheim","88e357ef","22","2017","82","2.87","4.9","18.1","5.9","0.11","74.3","1785","1.6","52","27","4.33","44","11","0.78","54.2","23","40","2","10","96","51.1","44","134","49.2","6","37","20","0.3","0","0","20","58","18.9","0","0","1","484"
"Sergej MilinkoviД‡-SaviД‡","midfielder","Lazio","4e6dbac4","22","2017","85","2.88","5.6","19.7","6.4","0.07","78.2","6794","-1.8","226","38","3.8","104","7","0.41","25","47","88","1","52","113","59.8","60","216","83.2","26","71","42","0.53","8","0","58","218","55.6","0","1","0","484"
"Sergio Busquets","midfielder","Barcelona","5ab0ea87","29","2017","89","0.17","0","10.7","1","0.2","90.3","11780","2","203","0","2.08","54","0","0.35","49.4","17","139","1","44","16","78.3","23","29","75.8","22","72","23","1.01","8","0","36","211","65.4","0","1","0","841"
"Sergio CГіrdova","forward","Augsburg","229cd98a","19","2017","67","2.15","0.4","18.2","1.6","0.11","73.5","305","0.3","11","9","2.61","12","0","0.31","75","7","5","0","6","21","37.5","16","50","19.2","0","10","10","-0.34","3","0","21","14","31","0","0","1","361"
"Sergio Ramos","defender","Real Madrid","08511d65","31","2017","91","0.98","-1.6","12.8","5.9","0.14","89.4","14791","-0.7","145","9","1.57","35","1","0.16","67.9","7","87","0","154","44","81.8","15","13","66.9","23","50","31","0.92","9","2","37","195","65.1","1","0","0","961"
"Shane Long","forward","Southampton","9f472354","30","2017","74","1.88","-1.7","12.5","3.7","0.11","64.7","585","-0.3","21","21","3.13","36","2","0.28","33.3","13","37","0","30","82","64.3","19","151","46.3","5","18","28","-0.2","6","0","34","42","40.4","0","0","1","900"
"Simon KjГ¦r","defender","Sevilla","8b8a56ce","28","2017","79","0.52","0.6","8","1.4","0.16","84.3","4594","-0.1","34","1","0.4","6","0","0","59.1","7","67","0","119","19","100","2","3","45.9","16","18","30","0.02","3","0","18","69","67.2","1","0","0","784"
"Simone Verdi","forward","Bologna","0375723e","25","2017","81","2.87","1.7","23.2","7.8","0.07","68.1","4618","1.5","114","233","3.85","67","13","0.48","25.6","36","69","0","11","69","65.5","76","208","82.7","24","31","41","-0.38","2","0","22","156","13.3","0","0","1","625"
"Sofiane Boufal","forward","Southampton","b0c71810","23","2017","77","2.21","0.3","18.3","1.7","0.06","74.3","1617","0.2","76","40","3.99","30","11","0.59","34.3","18","43","0","9","54","63.5","54","114","35.6","3","18","24","-0.19","1","0","27","81","33.3","0","0","1","529"
"Solly March","midfielder","Brighton","bb5fbd2b","23","2017","72","1.36","-0.5","23.8","1.5","0.05","68.3","2396","-0.4","60","102","2.34","36","4","0.19","40.7","36","67","0","44","36","58.5","37","141","54.1","10","11","29","-0.56","3","0","29","135","31.1","0","1","0","529"
"Stanislav Lobotka","midfielder","Celta Vigo","e1cbb531","22","2017","78","0.24","-0.2","26.8","0.2","0.03","90.5","10037","-0.6","205","10","1.21","36","3","0.03","35.4","14","103","0","57","5","91.7","35","28","89.5","30","54","54","-0.02","2","0","42","289","44.1","0","1","0","484"
"Stefan Ilsanker","forward","RB Leipzig","8494acc4","28","2017","75","0.35","-0.8","15.8","0.8","0.17","83.1","5265","0.1","97","10","1.96","26","0","0.21","56.4","11","62","1","78","9","66.7","8","21","42.1","11","21","25","0.09","3","1","32","72","52.9","0","0","1","784"
"Stefan Posch","defender","Hoffenheim","7f609bfc","20","2017","67","0.36","-0.2","14.3","0.2","0.05","83.3","3045","0","25","7","1.43","11","0","0.24","55.6","3","52","0","38","4","28.6","8","3","24.7","6","13","11","0.25","3","0","11","35","58.3","1","0","0","400"
"Stefan SaviД‡","defender","AtlГ©tico Madrid","f6ac68c1","26","2017","83","0.12","-0.2","11.8","0.2","0.07","81.4","6144","-0.2","52","3","0.39","7","0","0","41","11","75","1","190","6","100","4","3","67.2","25","31","15","0.22","6","0","24","115","70.8","1","0","0","676"
"Stefan de Vrij","defender","Lazio","d0d8dd44","25","2017","84","0.42","3.9","12.8","2.1","0.15","91.1","10144","-0.3","86","0","0.62","18","0","0.06","60.9","4","102","1","204","21","88.9","4","1","88.7","29","74","42","0.48","3","0","19","245","64.7","1","0","0","625"
"Stefano Okaka","forward","Watford","601ef102","27","2017","74","1.99","-0.8","12.6","1.8","0.18","65.6","215","0.6","10","1","2.98","11","2","0.2","50","5","6","0","0","24","77.8","9","48","13.2","0","9","12","-0.29","2","0","21","23","44","0","0","1","729"
"Stefano Sensi","midfielder","Sassuolo","b70bde8f","21","2017","73","1.82","0.4","24.8","1.6","0.08","80","2869","-1.2","73","44","3.81","30","1","0.26","40.9","8","39","1","13","7","66.7","23","36","30.4","7","10","21","-0.39","2","0","15","95","25","0","1","0","441"
"Stevan JovetiД‡","forward","Monaco","f36c432f","27","2017","80","4.18","2.6","15","5.4","0.17","66.9","641","0.6","32","4","3.35","16","2","0.72","0","7","7","0","3","38","54.5","23","62","22","2","22","6","0.8","1","0","15","36","45.6","0","0","1","729"
"StГ©phane Bahoken","forward","Strasbourg","5046b7d4","25","2017","70","2","0.3","15.4","6.7","0.18","68.8","700","-0.7","22","42","1.73","21","2","0.11","18.2","24","25","0","2","59","36.8","13","124","48.6","8","21","28","-0.28","5","0","46","48","34.1","0","0","1","625"
"Suat Serdar","midfielder","Mainz 05","b3325a30","20","2017","74","2.06","0.3","23.4","1.7","0.04","79.4","2067","-1.2","69","5","2.91","41","5","0","42.2","19","80","1","17","29","46.8","29","34","55.7","11","20","30","-0.48","3","0","36","94","46.2","0","1","0","400"
"SГ©amus Coleman","defender","Everton","0420d84f","28","2017","80","0.43","-1","9.7","1","0.21","71.5","2296","0.3","44","28","1.48","12","2","0.17","54.5","16","24","2","50","15","69.4","24","44","30.3","11","14","12","0.08","0","0","3","53","56","1","0","0","784"
"Tanguy Ndombele","midfielder","Lyon","5cdddffa","20","2017","80","0.99","-1.4","23.9","1.4","0.05","88.9","6224","1.5","178","6","4.17","77","15","0.46","27.5","23","98","0","17","22","76.9","54","55","68.8","12","61","28","0.79","5","0","34","207","68","0","1","0","400"
"Theo HernГЎndez","defender","Real Madrid","d4c9725f","19","2017","76","0.19","-0.2","13.9","0.2","0.08","84.3","2246","-1.1","45","30","2.52","20","4","0.19","52","16","38","0","31","23","55","42","107","28.2","8","30","11","1.28","1","0","11","68","71.4","1","0","0","361"
"Theo Walcott","forward","Everton","1ecb65be","28","2017","79","1.48","0.5","14.6","2.5","0.13","69.3","1094","0.6","33","45","2.89","22","4","0.39","46.7","15","35","0","13","46","58.7","25","99","33.7","11","16","17","-0.09","2","0","6","75","29.2","0","0","1","784"
"Thiago Mendes","midfielder","Lille","c6e5d20f","25","2017","76","1.77","0.5","23.9","2.5","0.06","84.4","5569","1.2","164","31","3.53","69","6","0.39","21.7","16","50","0","28","36","81.3","76","126","67.1","17","30","40","-0.53","4","1","38","168","60","0","1","0","625"
"Thiago Silva","defender","Paris S-G","86e7deaf","32","2017","88","0.47","0.1","12.8","0.9","0.08","95.8","11123","-0.2","112","1","0.77","15","0","0.17","57.1","4","49","0","199","16","100","2","1","61.8","22","76","16","1.54","5","0","24","151","69.1","1","0","0","1024"
"Thilo Kehrer","defender","Schalke 04","51dbeea9","20","2017","78","0.65","1.4","14.1","1.6","0.09","82.8","7355","-0.4","96","3","0.91","18","1","0.04","67.6","10","116","2","120","24","62.5","17","8","77.3","25","37","28","0.23","4","0","35","125","53.4","1","0","0","400"
"Thomas Delaney","midfielder","Werder Bremen","fe641c1a","25","2017","79","1.8","-0.4","18.9","3.4","0.06","70.7","4962","1.2","145","28","2.03","48","1","0.13","67.9","40","122","4","76","68","40","25","96","91.4","30","33","36","-0.2","5","0","83","106","59.4","0","1","0","625"
"Thomas Lemar","midfielder","Monaco","4dbd0916","21","2017","83","1.78","-1.7","23.4","3.7","0.08","77","5562","1.1","182","170","4.05","56","10","0.61","24.4","25","51","1","16","36","51.7","75","163","69.5","19","59","32","0.55","1","0","8","140","31.8","0","1","0","441"
"Thomas Mangani","midfielder","Angers","c801616a","30","2017","76","1.07","-1.8","22.5","3.6","0.08","71.6","11309","-0.2","272","181","3.57","75","2","0.36","23.3","57","132","1","56","36","55.6","42","68","88.5","31","40","48","0.05","7","0","50","221","39.8","0","1","0","900"
"Thomas Meunier","defender","Paris S-G","e162b013","25","2017","82","0.63","3.2","15.5","0.8","0.07","81.8","3898","-0.4","79","75","2.34","34","3","0.29","52.9","25","56","2","55","47","73.1","68","146","46.1","14","53","13","1.44","3","0","29","93","67.6","1","0","0","625"
"Thomas Monconduit","midfielder","Amiens","84d94b91","26","2017","76","0.82","0.1","27.7","0.9","0.03","78.4","6245","0.7","165","14","1.68","46","2","0.21","39.1","25","136","2","107","10","71.2","34","34","86.2","26","31","38","-0.58","7","1","64","198","61.7","0","1","0","676"
"Thomas MГјller","midfielder","Bayern Munich","3c6089ab","27","2017","86","1.98","1.9","14.8","6.1","0.14","73.4","2671","3.7","87","79","4.13","81","5","0.96","48.1","44","42","1","16","141","37.5","27","301","65.5","12","66","19","1.4","4","0","21","52","41.3","0","1","0","729"
"Thomas Partey","forward","AtlГ©tico Madrid","529f49ab","24","2017","82","0.83","1.4","25.7","1.6","0.07","82.3","6530","-0.6","134","20","1.44","31","3","0.23","47.8","27","147","1","64","16","84.9","31","40","69.5","18","35","13","0.36","6","0","40","216","58","0","0","1","576"
"Thorgan Hazard","midfielder","M'Gladbach","50871bcc","24","2017","83","2.48","-4.3","17.9","14","0.11","71.4","4765","-1.6","124","146","4.32","84","13","0.43","37","52","77","0","18","140","43.3","76","315","96","25","47","51","0.04","1","0","25","119","33.3","0","1","0","576"
"Timo Werner","forward","RB Leipzig","49fe9070","21","2017","84","3.36","-0.6","14","13.2","0.12","70.9","1208","2.2","43","53","2.39","42","10","0.65","15.8","36","23","0","4","181","32.5","47","299","81.5","19","47","46","0.11","1","0","26","46","36.8","0","0","1","441"
"Timothy Castagne","defender","Atalanta","197640fd","21","2017","71","0.54","-1.1","16","1.1","0.12","80.6","3558","-1.2","58","33","1.98","22","2","0.24","48.1","23","80","0","43","42","54.2","26","115","43.9","12","24","14","0.84","4","0","25","86","30","1","0","0","441"
"Timothy Fosu-Mensah","defender","Crystal Palace","a9142dc3","19","2017","74","0.45","-0.2","26.9","0.2","0.03","71.8","4060","-0.3","56","17","1.07","17","0","0","61.8","13","73","1","71","6","61.1","10","31","46.7","15","12","29","0.1","2","0","18","97","46.3","1","0","0","361"
"Timothy Weah","forward","Paris S-G","8eec784d","17","2017","69","1.48","-0.7","12.9","0.7","0.36","72.2","11","-0.4","0","1","1.48","1","0","0","100","3","1","0","0","5","0","0","8","3.6","1","1","0","0.59","1","0","2","2","0","0","0","1","289"
"Tobias Strobl","midfielder","M'Gladbach","17780d2b","27","2017","75","0","0","0","0","0","87","323","0.4","4","0","1.58","2","0","0.79","0","0","9","0","5","0","100","2","0","3.8","0","3","2","-0.13","0","0","1","6","100","0","1","0","729"
"Tom Davies","midfielder","Everton","9228b07c","19","2017","75","0.99","0.5","21.8","1.5","0.07","76.5","2003","0.4","62","17","1.61","25","1","0.28","22.2","19","54","0","24","26","70.3","22","70","55.6","8","27","24","-0.17","7","0","38","110","34.6","0","1","0","361"
"TomГЎs RincГіn","midfielder","Torino","f1cfc209","29","2017","77","0.51","0.3","23.8","0.7","0.04","82.2","6427","-1.5","146","17","1.68","51","3","0.12","36.4","21","123","1","59","17","82.1","37","45","87.6","23","45","41","-0.09","12","0","80","220","59.5","0","1","0","841"
"Toni Kroos","midfielder","Real Madrid","6ce1f46f","27","2017","90","1.63","2.6","23","2.4","0.06","88.7","11344","1.3","274","148","5.33","81","4","0.64","37.3","16","71","1","21","33","75","60","64","66.1","18","60","32","1.02","4","0","21","151","61.1","0","1","0","729"
"Tony Jantschke","defender","M'Gladbach","34b54da7","27","2017","75","0.12","-0.1","8.6","0.1","0.1","71.2","2412","0.9","33","11","0.75","6","0","0.13","61.5","18","19","0","19","3","28.6","7","18","23.8","4","12","13","0.14","2","0","8","21","64","1","0","0","729"
"Trent Alexander-Arnold","defender","Liverpool","cd1acf9d","18","2017","78","0.69","0","21.5","1","0.08","73.6","5965","-1.6","94","102","2.4","29","2","0.17","61.1","39","65","1","39","28","60.6","38","126","46","14","39","17","1.03","3","0","12","133","22.7","1","0","0","324"
"Tristan DingomГ©","midfielder","Troyes","92b56413","26","2017","71","0.38","-0.2","25.1","0.2","0.03","79.6","2742","-1.3","68","21","2.04","25","1","0.23","38.5","17","37","1","24","6","66.7","10","32","34.9","11","15","18","-0.32","4","0","15","88","41.2","0","1","0","676"
"Tyrone Mings","defender","Bournemouth","8397a50c","24","2017","70","0.45","0","35.7","0","0.01","78.4","798","-0.1","8","1","1.34","3","0","0.45","0","2","7","1","20","1","100","0","1","5.9","1","1","5","-1.19","1","0","2","14","50","1","0","0","576"
"Valentin Rongier","midfielder","Nantes","ed45c4a5","22","2017","79","1.07","-0.9","24.6","1.9","0.07","86.2","4795","-0.1","155","9","3.33","71","3","0.23","26.6","16","113","1","25","31","70","41","100","68.7","15","21","37","0.02","1","0","40","209","46.6","0","1","0","484"
"Victor LindelГ¶f","defender","Manchester Utd","f5deef4c","23","2017","79","0.07","0","34.4","0","0.01","90.6","4239","-0.3","42","1","0.42","5","0","0.07","64.3","4","30","1","65","0","80","11","6","37.6","13","26","14","0.31","1","0","10","94","46.7","1","0","0","529"
"Vincent Manceau","defender","Angers","c26a3918","28","2017","74","0.48","-0.6","23.5","0.6","0.04","76.5","9091","-2.1","130","62","1.45","36","2","0.03","55.3","43","118","0","87","22","66.7","48","104","86.8","33","41","44","0.08","0","0","25","195","53.6","1","0","0","784"
"Vincent Pajot","midfielder","Saint-Г‰tienne","f86ca403","26","2017","73","1.4","0.5","18.7","1.5","0.07","76.9","1999","0.2","58","6","1.33","17","0","0.21","17.6","11","48","0","39","26","57.1","9","24","37.7","9","12","31","-0.5","5","1","36","63","60","0","1","0","676"
"Vincenzo Grifo","midfielder","M'Gladbach","54e4866f","24","2017","77","1.37","-0.8","20.8","0.8","0.06","71.7","1864","0.6","44","39","4.01","25","3","0.57","50","14","13","0","10","28","40.9","13","48","25.7","6","8","14","-0.39","0","0","2","38","50","0","1","0","576"
"Virgil van Dijk","defender","Liverpool","e06683ca","26","2017","88","1.14","-1.2","15.7","1.2","0.07","89.7","7404","-1.2","82","0","0.93","11","0","0","80","2","33","1","73","17","0","8","6","36.8","14","27","10","1.04","1","0","8","69","72.6","1","0","0","676"
"VladimГ­r Darida","midfielder","Hertha BSC","3eb0f2df","26","2017","78","1.38","-1","23","1","0.04","77.7","3625","1.1","108","22","2.15","31","3","0.22","42.3","39","62","0","27","23","57.7","19","76","53.4","13","23","26","-0.24","2","0","31","101","35.9","0","1","0","676"
"Wahbi Khazri","forward","Rennes","2677a1de","26","2017","78","2.86","1.4","23.7","7.8","0.08","72.4","1994","-1.8","64","64","3.47","38","10","0.28","17.9","22","33","0","3","78","63.4","42","146","56.1","13","27","21","0.14","8","1","38","109","33.3","0","0","1","676"
"Walace","midfielder","Hamburger SV","26db8853","22","2017","73","1.23","0.2","25.4","0.8","0.04","79.1","2340","0.5","73","4","1.71","23","0","0.27","43.2","17","59","1","29","18","48","7","29","43.1","10","9","26","-0.7","3","0","22","113","55.8","0","1","0","484"
"Weston McKennie","midfielder","Schalke 04","01c3aff5","18","2017","72","0.64","-0.7","21.5","0.7","0.08","71.1","1816","-0.9","55","3","1.58","19","0","0.08","40.6","16","56","0","24","9","33.3","12","29","41.3","8","19","18","0.13","3","0","37","92","55.3","0","1","0","324"
"Wilfred Ndidi","midfielder","Leicester City","6b47c5db","20","2017","80","1.27","-2.1","22.6","2.1","0.05","75.3","5599","2.4","136","9","1.21","35","1","0.25","37.8","29","189","2","109","29","76.7","27","48","84.7","30","46","44","0.06","8","4","60","296","61.1","0","1","0","400"
"Wilfried Zaha","forward","Crystal Palace","b2bc3b1f","24","2017","82","2.26","-0.2","15","9.2","0.14","69.4","2094","-1.7","96","76","4.91","79","35","0.49","17.4","39","37","0","5","182","60.7","98","283","74.5","26","42","31","0.48","5","0","45","124","21.1","0","0","1","576"
"Willi Orban","defender","RB Leipzig","20030c06","24","2017","79","0.47","2.1","12.1","0.9","0.08","83.1","9111","-1.4","97","3","0.55","12","0","0","67.4","6","77","1","160","27","100","8","7","69.5","22","34","34","0.21","5","1","27","91","63.2","1","0","0","576"
"Wissam Ben Yedder","forward","Sevilla","942b4f90","26","2017","82","2.54","-3.3","11.7","12.3","0.26","77.1","831","0.9","53","8","3.07","46","5","0.48","50","10","17","0","5","114","53.3","28","138","49.7","13","24","27","0.38","2","1","17","60","20.5","0","0","1","676"
"Xherdan Shaqiri","midfielder","Stoke City","6421ec64","25","2017","81","2.01","3.8","22.3","5","0.06","71.4","5750","-0.1","161","201","4.29","80","10","0.36","25.6","33","41","2","5","51","57.4","72","183","88.9","26","30","58","-0.67","5","0","28","153","20","0","1","0","625"
"Yacine Adli","forward","Paris S-G","26777636","17","2017","65","0","0","0","0","0","100","42","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","0","-0.4","0","0","0","0","0","0","0","1","289"
"Yannick Gerhardt","forward","Wolfsburg","62ab9184","23","2017","74","0.66","0.4","18","0.6","0.07","75.6","2593","0.2","44","24","1.76","18","0","0.29","64.7","22","52","0","40","16","52.9","17","67","40.1","11","18","16","-0.25","1","0","10","49","42.9","0","0","1","529"
"Yerry Mina","defender","Barcelona","6d5701f2","22","2017","78","0.73","-0.3","11.2","0.3","0.09","92.6","1335","0.8","12","0","0.73","2","0","0","66.7","1","16","0","33","3","100","2","0","10.8","4","9","7","-0.26","2","0","6","13","66.7","1","0","0","484"
"Youri Tielemans","midfielder","Monaco","56f7a928","20","2017","79","1.43","-1.3","23.5","1.3","0.05","79.7","3668","-0.1","109","24","3.33","38","6","0.4","30.9","18","81","1","30","27","55.8","27","60","45.9","11","37","17","0.29","1","0","34","119","53.3","0","1","0","400"
"Youssef En-Nesyri","forward","MГЎlaga","04e17fd5","20","2017","72","2.65","-0.4","16.2","5.2","0.09","55.6","500","-0.9","23","19","1.58","11","7","0.17","23.1","19","40","0","33","64","34","27","79","46.7","12","12","27","-0.26","2","1","34","54","40.4","0","0","1","400"
"Youssouf Sabaly","defender","Bordeaux","fbbb9269","24","2017","77","0.29","-0.6","23.8","0.6","0.06","78.9","10070","1.3","170","137","2.07","63","3","0.29","63.2","85","147","0","95","23","64.6","89","145","90.4","34","50","43","0.23","3","0","38","235","49.4","1","0","0","576"
"Yussuf Poulsen","forward","RB Leipzig","d2416c2e","23","2017","79","2.11","-3.9","13.4","7.9","0.2","61.5","842","-0.5","34","12","3.03","33","8","0.22","58.3","42","32","0","15","84","45.8","30","144","54.4","10","23","30","0.11","1","0","32","50","57.4","0","0","1","529"
"Yves Bissouma","forward","Lille","6c203af0","20","2017","72","2.36","-0.1","25.9","2.1","0.06","84.1","4194","0.3","113","8","2.65","32","6","0.23","48.7","20","98","1","32","22","73.3","43","51","45.6","12","15","36","-0.62","3","0","37","122","66.7","0","0","1","400"
"Zaydou Youssouf","forward","Bordeaux","e2f9bb5f","18","2017","69","2.06","-0.1","22.8","0.1","0.04","67.9","108","0","4","2","3.44","4","0","0.69","50","0","4","0","1","2","42.9","5","9","3.8","0","1","3","-0.56","2","0","3","7","100","0","0","1","324"
"ГЃdГЎm Szalai","forward","Hoffenheim","53e07d0b","29","2017","76","2.71","1.6","12.6","3.4","0.13","73.4","424","0.2","18","1","2.11","16","2","0","40","6","8","0","11","55","33.3","5","70","29.3","6","16","17","0.14","2","0","14","7","47.6","0","0","1","841"
"ГЃngel Correa","midfielder","AtlГ©tico Madrid","01eb744d","22","2017","80","1.88","2.1","18.2","5.9","0.13","71","2206","1.3","85","30","3.43","47","20","0.6","14","34","66","0","29","129","54.3","48","163","65.9","6","40","9","0.58","4","1","47","168","16.7","0","1","0","484"
"ГЃngel Di MarГ­a","forward","Paris S-G","19cda00b","29","2017","84","4.14","-1.1","19.7","12.1","0.12","71","3987","-1.8","128","175","5.25","78","9","0.51","17.9","51","23","0","10","136","55.8","71","287","61.7","10","59","17","1.33","1","0","8","71","0","0","0","1","841"
"Г‡aДџlar SГ¶yГјncГј","defender","Freiburg","21166ff4","21","2017","75","0.38","0.2","21.3","0.8","0.09","81.2","6915","0","62","2","0.33","7","0","0","57.7","18","96","2","151","7","72.7","5","4","70.4","22","18","36","-0.29","5","2","26","98","58.4","1","0","0","441"
"Г“scar Duarte","defender","Espanyol","aa0ac32d","28","2017","75","0.27","-0.6","10","0.6","0.19","78.7","3145","0","20","1","0.55","5","0","0","36.4","1","21","2","58","6","100","1","1","28.9","11","10","14","-0.13","1","0","8","33","69.6","1","0","0","784"
"Д°lkay GГјndoДџan","midfielder","Manchester City","819b3158","26","2017","84","2.02","0.7","19.6","3","0.07","91.3","4535","-0.7","154","8","3.8","55","0","0.53","24.3","16","43","0","24","50","74.3","62","83","44.4","9","44","14","1.21","3","0","14","124","20","0","1","0","676"
"Aaron Cresswell","defender","West Ham","4f974391","28","2018","76","0.62","-0.5","22.6","0.5","0.04","78.4","5043","-0.1","94","75","1.98","24","0","0.17","52","38","52","0","71","29","46.2","60","103","46.5","16","21","26","-0.31","1","0","2","85","58.1","1","0","0","784"
"Aaron Ramsey","midfielder","Arsenal","ef619b0b","27","2018","83","2.23","0.6","17.2","3.4","0.1","80.8","2275","4","88","15","3.25","41","3","0.68","28","27","43","0","9","72","52.2","51","133","38.9","4","32","13","0.04","0","0","21","89","39.4","0","1","0","729"
"Abdou Diallo","defender","Dortmund","fc62f087","22","2018","79","0.38","-0.6","8.1","1.6","0.26","88.3","11331","0.4","125","24","0.79","17","0","0.08","73.3","19","62","1","157","16","74.1","123","62","77.7","24","58","38","0.57","1","1","21","153","55.1","1","0","0","484"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","28","2018","73","0.24","-0.2","25","0.2","0.03","75.6","6172","2.1","90","70","1.08","27","0","0.14","54.5","36","88","0","58","17","57.7","66","79","75.2","27","36","33","0.03","6","0","21","139","44","1","0","0","784"
"Abdoulaye DoucourГ©","midfielder","Watford","02b29014","25","2018","81","1.53","-1.2","17.6","6.2","0.13","82.6","6590","1.3","202","11","2.44","72","4","0.26","33.3","41","105","5","62","78","58.2","135","83","89.5","33","51","56","-0.22","7","0","36","257","52.6","0","1","0","625"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","24","2018","75","1.8","0.8","26.8","2.2","0.04","79.2","4912","-0.8","146","24","2.45","55","4","0.23","33.9","27","95","1","51","17","71.2","123","55","80.4","27","42","37","0.05","4","1","26","198","47.5","0","1","0","576"
"Achraf Hakimi","defender","Dortmund","e42d61c7","19","2018","82","1.03","0.3","21.5","1.7","0.08","85","6994","1.1","107","46","2.22","30","0","0.52","47.2","52","63","2","67","32","62.3","95","106","56.9","18","53","23","0.93","4","0","14","137","45.5","1","0","0","361"
"Adam Lallana","midfielder","Liverpool","99813635","30","2018","79","0.96","-0.3","17.2","0.3","0.05","80.4","786","-0.5","30","8","4.63","18","2","0.58","41.7","10","21","0","4","26","72.7","14","39","13.7","0","14","3","1.56","1","0","4","25","38.1","0","1","0","900"
