Player,Pos,Squad,id,Age,Season,RATING,Sh/90,np:G-xG,Dist,npxG/Sh,Cmp%,A-xAG,Crs,TO,Tkl%,Tkl+Int,Err,Def Pen,Succ%,44986,onGA,xG+/-90,CrdY,CrdR,Won%,def,mid,forw,Age^2
David Alaba,defender,Bayern Munich,05439de2,26,2018,85,1.67,-0.2,25.8,0.07,82.2,-1.4,115,4,65.4,65,0,46,74.4,144,27,1.6,4,0,52.2,1,0,0,676
David Silva,midfielder,Manchester City,e2716bd0,32,2018,88,1.91,-1.8,14.1,0.15,85.2,-0.5,75,6,5.0,52,0,18,66.0,138,14,1.56,2,0,45.2,0,1,0,1024
Davide Biraschi,defender,Genoa,64cd167d,24,2018,73,0.35,-0.4,26.9,0.03,65.0,-1.0,51,4,59.5,122,1,116,70.8,113,48,-0.23,3,1,54.5,1,0,0,576
Davide Calabria,defender,Milan,2146785a,21,2018,77,0.46,0.6,21.5,0.04,80.8,0.0,65,2,55.2,111,1,78,36.4,109,20,-0.05,5,0,40.0,1,0,0,441
Davide Zappacosta,defender,Chelsea,7fe90ccd,26,2018,79,1.41,-0.1,17.4,0.04,81.3,-0.1,1,0,0.0,3,0,8,66.7,1,0,0.87,0,0,60.0,1,0,0,676
Davie Selke,forward,Hertha BSC,1238a3f9,23,2018,78,2.28,-2.2,13.7,0.12,57.4,1.6,21,6,22.2,6,0,8,44.9,15,33,-0.46,4,0,52.8,0,0,1,529
Davinson SГЎnchez,defender,Tottenham,da7b447d,22,2018,83,0.65,-0.4,9.7,0.1,89.8,0.6,0,0,54.1,67,2,148,33.3,31,22,0.12,2,0,57.8,1,0,0,484
Dayot Upamecano,defender,RB Leipzig,d248cd8f,19,2018,77,0.7,-0.9,13.1,0.09,82.0,-0.1,0,1,83.3,55,0,66,100.0,44,17,0.71,5,0,66.7,1,0,0,361
Declan Rice,midfielder,West Ham,1c7012b8,19,2018,78,0.66,0.8,18.3,0.05,86.2,-0.4,3,1,43.2,150,0,74,76.5,126,47,-0.42,4,0,56.8,0,1,0,361
Dele Alli,midfielder,Tottenham,cea4ee8f,22,2018,84,1.92,0.2,14.4,0.12,79.2,-0.1,10,6,20.8,52,0,32,53.7,67,21,0.32,4,0,50.0,0,1,0,484
Demarai Gray,forward,Leicester City,4468ec10,22,2018,75,2.13,-0.5,19.7,0.1,72.2,-0.3,52,8,37.5,34,0,18,57.5,37,29,0.37,2,0,25.0,0,0,1,484
Denis Zakaria,midfielder,M'Gladbach,384d58d9,21,2018,81,1.65,0.2,18.2,0.11,81.9,-0.7,14,1,40.0,66,0,39,54.7,67,26,-0.16,7,0,45.7,0,1,0,441
Dennis Geiger,midfielder,Hoffenheim,37f606f0,20,2018,70,1.46,-0.1,27.4,0.04,88.2,0.1,7,0,16.7,5,0,4,25.0,9,5,0.64,1,0,16.7,0,1,0,400
Dennis Praet,midfielder,Sampdoria,86695068,24,2018,76,1.06,-0.3,22.6,0.07,83.3,-2.0,107,4,52.9,98,0,62,60.3,157,39,-0.03,6,0,54.1,0,1,0,576
Diego Demme,midfielder,RB Leipzig,dc3fa3b5,26,2018,78,0.44,-0.4,21.5,0.04,79.3,-0.7,48,0,49.3,101,0,24,50.0,135,18,0.75,4,0,51.9,0,1,0,676
Diego GodГ­n,defender,AtlГ©tico Madrid,fc4f85b1,32,2018,88,0.5,0.4,7.8,0.18,79.9,0.7,0,0,47.6,97,2,191,90.9,49,24,0.14,6,0,61.9,1,0,0,1024
Diego Llorente,defender,Real Sociedad,bba30585,24,2018,77,0.36,-0.5,19.4,0.07,84.2,-0.1,2,0,58.6,52,2,135,50.0,51,17,0.17,5,0,58.2,1,0,0,576
Dimitri LiГ©nard,forward,Strasbourg,f7691f63,30,2018,73,1.53,-1.0,26.1,0.05,77.5,1.1,96,0,46.7,51,0,23,64.0,50,17,0.03,1,0,25.0,0,0,1,900
Dimitri Payet,midfielder,Marseille,58ae47b2,31,2018,81,1.75,-1.2,24.2,0.09,68.7,-0.7,213,6,22.7,19,0,6,60.0,76,31,0.28,3,0,28.6,0,1,0,961
Divock Origi,forward,Liverpool,43a166b4,23,2018,78,3.15,0.8,17.0,0.17,67.0,0.8,5,1,25.0,6,0,0,60.0,6,2,1.18,0,0,25.0,0,0,1,529
Domenico Berardi,forward,Sassuolo,53a0e358,23,2018,78,3.91,-1.1,22.9,0.07,71.8,-0.5,120,12,20.5,65,0,28,48.9,71,46,-0.09,5,1,40.4,0,0,1,529
Dominic Calvert-Lewin,forward,Everton,59e6e5bf,21,2018,77,2.62,0.5,14.1,0.11,60.6,0.6,8,4,46.7,20,0,24,53.8,23,26,0.29,3,0,43.0,0,0,1,441
Dominik Kohr,midfielder,Leverkusen,0fbecd11,24,2018,76,1.39,-1.4,22.5,0.09,79.5,0.3,2,1,40.0,57,1,32,44.4,32,21,-0.56,4,0,41.4,0,1,0,576
Dominique Heintz,defender,Freiburg,699fb8db,24,2018,76,0.29,0.2,14.8,0.08,81.4,0.0,12,0,56.3,86,0,251,80.8,121,61,-0.63,5,0,54.5,1,0,0,576
Douglas Luiz,midfielder,Girona,6f7d826d,20,2018,74,0.97,-1.6,25.4,0.1,83.0,-0.5,16,3,23.7,55,0,42,92.0,66,22,-0.21,7,0,56.5,0,1,0,400
Dries Mertens,forward,Napoli,89b2c8a9,31,2018,87,3.52,5.1,17.6,0.11,74.0,3.0,75,9,4.8,32,0,3,47.4,53,19,0.73,1,0,27.3,0,0,1,961
DuvГЎn Zapata,forward,Atalanta,d3de9af0,27,2018,82,3.6,4.7,13.1,0.15,76.0,-2.5,31,17,11.1,13,0,29,48.2,20,40,0.85,5,0,41.1,0,0,1,729
Eden Hazard,forward,Chelsea,a39bb753,27,2018,91,2.74,4.6,18.0,0.08,79.6,5.0,145,28,29.4,27,1,4,67.2,127,35,0.59,2,0,38.0,0,0,1,729
Edimilson Fernandes,midfielder,Fiorentina,3bb625ac,22,2018,72,0.96,0.8,23.4,0.06,84.7,-1.3,16,1,38.9,62,0,49,51.3,86,26,0.37,9,1,37.5,0,1,0,484
Edin DЕѕeko,forward,Roma,3bb7f478,32,2018,84,4.57,-5.5,15.4,0.11,68.8,1.8,27,15,25.0,13,1,37,49.3,59,38,0.25,9,0,59.9,0,0,1,1024
Edinson Cavani,forward,Paris S-G,527f063d,31,2018,88,2.53,3.4,14.2,0.22,75.3,1.4,5,3,23.1,17,0,20,57.1,7,15,1.34,1,0,25.0,0,0,1,961
Edoardo Goldaniga,defender,Frosinone,4b029b31,24,2018,73,0.45,-1.0,14.0,0.15,72.6,0.2,21,0,59.4,100,0,141,70.0,73,56,-0.76,6,0,63.1,1,0,0,576
Ellyes Skhiri,midfielder,Montpellier,c2211709,23,2018,78,0.73,1.8,24.5,0.05,85.4,0.8,6,4,47.3,165,0,73,74.4,118,36,0.27,5,0,57.1,0,1,0,529
Elseid Hysaj,defender,Napoli,2f3452eb,24,2018,80,0.56,-0.6,21.1,0.04,85.6,1.4,31,1,51.0,64,0,62,54.5,87,21,0.85,4,0,53.8,1,0,0,576
Emil Forsberg,midfielder,RB Leipzig,9a2e0ccc,26,2018,82,1.95,-1.5,22.9,0.09,75.7,2.5,49,3,31.3,15,0,8,53.7,52,16,1.11,0,0,44.4,0,1,0,676
Emil Krafth,defender,Amiens,77cf6852,23,2018,74,0.3,0.3,22.5,0.07,69.4,-2.2,70,1,49.2,78,4,123,36.4,76,43,-0.37,2,0,56.8,1,0,0,529
Emre Can,midfielder,Juventus,a65ce836,24,2018,81,1.54,1.1,18.8,0.06,85.9,-1.4,18,4,60.0,92,2,38,74.3,78,15,0.53,7,0,63.9,0,1,0,576
Enes Гњnal,forward,Valladolid,f8eca1b6,21,2018,77,2.09,-2.6,16.2,0.11,68.1,1.5,8,4,16.7,19,0,27,47.4,39,30,-0.31,7,0,40.4,0,0,1,441
Enis Bardhi,midfielder,Levante,cac2537b,23,2018,78,2.09,-0.6,24.5,0.06,72.7,0.2,72,6,32.2,101,1,57,59.7,94,51,-0.44,6,0,27.0,0,1,0,529
Eric Bailly,defender,Manchester Utd,a1232f4e,24,2018,80,0.42,-0.2,11.6,0.07,86.6,0.0,0,0,80.0,28,1,56,80.0,6,13,-0.05,0,1,76.5,1,0,0,576
Eric Dier,forward,Tottenham,ac861941,24,2018,79,0.54,2.0,12.0,0.11,84.4,-1.0,6,0,40.4,47,1,63,28.6,76,18,0.06,4,0,53.0,0,0,1,576
Erick Cabaco,defender,Levante,e7ab4179,23,2018,75,0.55,0.5,10.8,0.15,72.4,-0.1,2,0,41.4,51,0,108,33.3,64,35,-0.72,11,2,52.8,1,0,0,529
Erik Thommy,midfielder,Stuttgart,df8e7b62,23,2018,72,2.83,-0.2,24.8,0.05,71.1,-0.5,44,2,14.3,19,0,8,38.1,18,22,-0.83,3,1,35.0,0,1,0,529
Ermin BiДЌakДЌiД‡,defender,Hoffenheim,7aac47fe,28,2018,77,0.45,-0.5,7.9,0.18,88.1,1.3,7,0,59.1,88,1,119,0.0,108,30,0.62,0,0,63.1,1,0,0,784
Fabian SchГ¤r,defender,Newcastle Utd,c8aa95da,26,2018,79,1.13,2.1,18.7,0.07,67.0,0.3,17,2,48.0,127,2,161,63.6,80,23,-0.17,12,0,49.6,1,0,0,676
Fabinho,midfielder,Liverpool,7f3b388c,24,2018,85,0.76,0.0,24.2,0.06,84.9,0.2,10,2,40.7,87,2,49,62.5,128,14,1.27,6,0,57.4,0,1,0,576
Fabio Quagliarella,forward,Sampdoria,ee4f2f3b,35,2018,83,3.69,2.3,19.3,0.11,66.5,3.5,34,3,13.3,22,0,21,52.8,40,45,-0.14,1,0,29.5,0,0,1,1225
Federico Bernardeschi,midfielder,Juventus,ee93c1a9,24,2018,83,3.24,-1.8,19.4,0.07,76.5,-0.4,83,6,38.9,20,0,15,52.5,41,12,0.96,5,1,42.1,0,1,0,576
Federico Ceccherini,defender,Fiorentina,d9624b51,26,2018,71,0.09,-0.1,7.6,0.08,85.6,-0.3,2,1,55.6,34,0,47,75.0,32,15,-0.16,2,0,58.8,1,0,0,676
Federico Chiesa,forward,Fiorentina,b0f7e36c,20,2018,79,3.95,-2.8,19.7,0.07,66.6,-2.6,93,18,25.0,56,0,6,43.9,62,40,0.28,4,0,23.0,0,0,1,400
Federico Fazio,defender,Roma,4e358a2d,31,2018,80,0.96,2.5,11.6,0.08,84.8,-0.3,5,1,48.0,81,2,246,82.4,75,38,0.28,6,0,70.4,1,0,0,961
Federico FernГЎndez,defender,Newcastle Utd,f25b010f,29,2018,76,0.24,-0.2,14.4,0.04,78.1,0.5,5,0,55.6,41,1,122,0.0,28,24,-0.59,2,0,55.2,1,0,0,841
Federico Valverde,midfielder,Real Madrid,0959c2a2,20,2018,81,0.96,-0.3,24.9,0.04,85.4,-0.3,4,1,45.5,33,0,9,76.5,38,6,1.05,4,0,60.0,0,1,0,400
Ferland Mendy,defender,Lyon,3cefcaef,23,2018,80,0.82,1.1,21.9,0.04,82.9,-2.2,80,9,82.4,78,2,76,76.4,115,34,0.64,2,0,56.1,1,0,0,529
Filip KostiД‡,midfielder,Eint Frankfurt,b1cd37e6,25,2018,82,1.89,1.5,21.4,0.07,59.5,0.2,234,6,35.4,87,0,53,62.4,80,46,0.22,4,0,48.9,0,1,0,625
Flavien Tait,midfielder,Angers,a0f9b535,25,2018,78,2.53,-1.1,21.0,0.07,72.0,-2.3,199,24,39.0,86,0,20,55.4,105,40,0.12,2,0,40.0,0,1,0,625
Florent Mollet,midfielder,Montpellier,7e82a78f,26,2018,78,2.95,2.1,25.0,0.05,79.6,-3.1,201,6,25.5,59,0,9,39.2,128,32,0.18,6,1,31.3,0,1,0,676
Florian Kainz,forward,Werder Bremen,94c18565,25,2018,75,1.93,-0.4,20.1,0.05,64.2,0.3,29,1,50.0,9,0,5,41.7,13,4,-0.56,2,0,63.6,0,0,1,625
Florian Lejeune,defender,Newcastle Utd,6eaed4eb,27,2018,78,0.6,-0.4,15.9,0.06,75.3,-0.4,7,0,45.8,46,0,79,75.0,34,13,-0.05,0,0,64.6,1,0,0,729
Florian Niederlechner,forward,Freiburg,d6862409,27,2018,77,2.88,-0.6,16.9,0.15,67.0,0.3,6,2,0.0,13,0,12,40.9,9,25,-0.8,3,0,32.6,0,0,1,729
Francesco Acerbi,defender,Lazio,b96b595c,30,2018,83,0.49,-0.4,9.8,0.2,86.7,0.0,6,0,75.0,101,1,257,81.8,111,44,0.37,4,1,69.1,1,0,0,900
Francis Coquelin,midfielder,Valencia,a6951bf8,27,2018,80,0.46,-0.4,20.2,0.04,85.8,-0.3,1,1,48.6,95,1,48,81.8,100,15,0.46,5,0,64.8,0,1,0,729
Gabriel Jesus,forward,Manchester City,b66315ae,21,2018,82,3.65,-4.5,11.6,0.25,81.2,0.7,4,6,0.0,13,0,4,57.9,15,11,1.71,1,0,27.8,0,0,1,441
Gabriel Silva,defender,Saint-Г‰tienne,4914ed4a,27,2018,73,0.31,-0.2,20.9,0.04,76.8,0.6,34,3,35.3,33,1,60,69.2,28,17,0.08,1,0,50.8,1,0,0,729
Gareth Bale,forward,Real Madrid,a58bb1e1,29,2018,85,3.78,-1.3,18.7,0.11,71.7,0.1,70,8,30.0,27,0,14,54.5,48,23,0.58,4,0,51.4,0,0,1,841
GaГ«l Kakuta,midfielder,Rayo Vallecano,5b1bf5e3,27,2018,73,0.63,-0.3,20.5,0.07,67.9,-0.2,42,0,20.0,21,0,4,53.3,26,19,-0.46,1,0,26.3,0,1,0,729
GaГ«tan Laborde,forward,Montpellier,7cdda3bf,24,2018,78,2.67,1.2,16.0,0.11,63.7,-1.8,51,6,40.7,42,0,24,43.3,50,30,0.29,1,1,47.3,0,0,1,576
Geoffrey Kondogbia,midfielder,Valencia,cce181df,25,2018,81,1.59,-1.2,21.2,0.1,84.2,0.1,0,2,44.4,74,2,49,91.7,81,13,0.27,1,0,46.2,0,1,0,625
Georginio Wijnaldum,midfielder,Liverpool,eb58eef0,27,2018,84,0.99,0.0,15.3,0.1,90.5,-1.8,13,3,51.9,62,0,38,59.2,152,16,1.14,3,0,48.5,0,1,0,729
GermГЎn Pezzella,defender,Fiorentina,8c725b43,27,2018,79,0.82,-0.9,12.1,0.11,85.8,0.4,1,0,60.8,116,1,195,66.7,68,38,0.23,5,0,69.0,1,0,0,729
Giacomo Bonaventura,midfielder,Milan,d995ed27,28,2018,82,3.76,0.1,16.0,0.11,86.7,0.2,8,2,28.6,13,0,14,76.9,20,10,0.62,0,0,56.3,0,1,0,784
Gian Marco Ferrari,defender,Sassuolo,8650af85,26,2018,74,0.74,1.8,11.1,0.1,86.1,-0.2,11,0,75.0,77,1,189,80.0,135,45,-0.21,9,0,67.8,1,0,0,676
Gianluca Caprari,forward,Sampdoria,54e53b7e,25,2018,74,2.62,3.8,19.2,0.07,77.4,0.6,41,4,41.7,19,0,1,56.3,24,15,-0.57,1,0,8.3,0,0,1,625
Gianluca Mancini,defender,Atalanta,5aa53281,22,2018,76,1.6,-0.3,10.5,0.13,82.3,0.6,3,1,55.2,88,1,97,91.7,82,32,0.89,5,0,62.3,1,0,0,484
Giorgio Chiellini,defender,Juventus,e85fb9b8,33,2018,89,0.59,-0.5,13.4,0.12,84.3,0.5,6,0,62.5,54,1,163,80.0,89,13,0.8,3,0,69.4,1,0,0,1089
Giovani Lo Celso,midfielder,Betis,d7553721,22,2018,83,2.25,2.0,20.3,0.08,81.7,0.0,15,4,25.7,69,0,14,61.2,119,39,0.04,5,0,41.0,0,1,0,484
Giovanni Simeone,forward,Fiorentina,343c0d52,23,2018,77,2.42,-5.2,13.3,0.17,64.9,0.6,20,7,24.1,47,0,17,47.3,12,32,0.44,2,0,27.1,0,0,1,529
Giuseppe Pezzella,forward,Genoa,149c5f5d,20,2018,71,0.8,0.0,28.0,0.02,74.4,-0.1,4,0,0.0,3,0,4,0.0,4,4,-1.05,0,1,0.0,0,0,1,400
Gonzalo Escalante,midfielder,Eibar,3f79a1c8,25,2018,77,1.11,1.1,17.5,0.17,77.1,0.0,7,0,41.3,70,0,27,76.7,66,29,0.28,6,0,41.7,0,1,0,625
Granit Xhaka,forward,Arsenal,e61b8aee,25,2018,81,1.04,2.0,26.5,0.07,81.7,-1.4,129,0,40.7,88,3,99,50.0,225,37,0.23,10,0,54.9,0,0,1,625
Guillermo MaripГЎn,defender,AlavГ©s,d9764034,24,2018,78,0.67,-0.5,9.7,0.17,75.2,1.0,0,0,68.4,86,2,168,50.0,31,26,-0.28,5,0,72.0,1,0,0,576
Hakan Г‡alhanoДџlu,midfielder,Milan,cd0fa27b,24,2018,80,3.18,-2.2,23.2,0.05,79.7,-0.2,152,4,50.0,80,0,32,66.7,132,25,0.18,3,0,43.8,0,1,0,576
Hamari TraorГ©,defender,Rennes,a4b1028a,26,2018,75,0.88,-2.0,22.2,0.07,81.0,-1.3,79,8,50.7,105,0,108,50.0,130,46,0.29,7,0,37.6,1,0,0,676
Hamza Choudhury,midfielder,Leicester City,7d2d3329,20,2018,74,0.61,-0.5,19.6,0.12,84.0,-0.4,3,1,60.0,39,0,28,33.3,23,4,-0.5,0,0,45.5,0,1,0,400
Hans Hateboer,defender,Atalanta,3b333ac3,24,2018,78,0.88,-0.2,10.3,0.18,82.6,0.0,75,2,50.0,66,1,61,35.0,78,39,0.84,5,0,56.0,1,0,0,576
Harry Kane,forward,Tottenham,21a66f6a,25,2018,89,3.64,1.7,17.0,0.12,72.5,0.0,12,12,7.1,11,0,18,48.8,58,31,0.19,5,0,41.2,0,0,1,625
Harry Maguire,defender,Leicester City,d8931174,25,2018,82,1.04,0.6,14.4,0.08,85.5,-0.8,1,2,64.7,67,4,219,85.0,159,40,0.16,6,1,78.1,1,0,0,625
Harry Winks,midfielder,Tottenham,2f7acede,22,2018,80,0.51,0.0,22.0,0.12,91.3,-0.3,8,0,16.7,43,0,41,73.9,121,17,0.25,4,0,46.2,0,1,0,484
Harvey Barnes,midfielder,Leicester City,3ea50f67,20,2018,75,3.59,-2.9,17.0,0.1,72.6,0.3,23,9,66.7,13,0,6,61.2,16,16,0.87,0,0,46.7,0,1,0,400
Henrikh Mkhitaryan,forward,Arsenal,dd0daf32,29,2018,81,2.69,1.0,19.1,0.1,74.8,-2.2,63,1,27.3,44,0,23,38.5,68,26,0.42,1,0,45.7,0,0,1,841
Houssem Aouar,midfielder,Lyon,a5db0bec,20,2018,81,2.09,0.2,17.8,0.1,86.3,2.3,7,5,27.9,95,3,35,59.8,200,45,0.7,2,0,34.0,0,1,0,400
Iago Aspas,forward,Celta Vigo,7dcf86f6,30,2018,85,2.56,7.1,17.2,0.12,79.5,-0.7,32,8,20.0,32,0,7,55.6,46,39,-0.07,5,0,35.8,0,0,1,900
Ibrahima KonatГ©,defender,RB Leipzig,5ed9b537,19,2018,79,0.48,-0.7,11.7,0.13,75.7,0.6,2,2,63.0,102,0,113,84.6,76,25,0.65,7,0,72.9,1,0,0,361
Ignatius Ganago,forward,Nice,23c63b7f,19,2018,71,2.35,-0.9,11.5,0.11,76.9,-1.0,3,6,0.0,4,0,7,68.0,4,11,-0.03,1,0,52.3,0,0,1,361
Ihlas Bebou,midfielder,Hannover 96,a53b661f,24,2018,77,2.2,-0.8,21.9,0.15,66.1,1.1,42,8,44.4,24,0,11,61.4,18,22,-0.44,1,0,42.6,0,1,0,576
Isaac Hayden,midfielder,Newcastle Utd,c951a6df,23,2018,76,1.07,0.1,22.2,0.04,78.2,1.7,11,1,56.1,113,0,46,75.0,44,25,-0.34,3,1,56.5,0,1,0,529
Isco,midfielder,Real Madrid,a0b4bb3e,26,2018,86,1.89,-2.1,16.8,0.2,84.9,-0.8,42,1,41.2,35,0,5,69.4,92,18,0.82,3,0,33.3,0,1,0,676
IsmaГ«l TraorГ©,defender,Angers,b666421b,31,2018,75,0.51,-0.6,10.5,0.24,85.1,0.9,2,1,37.5,69,2,138,66.7,54,38,-0.01,2,1,43.7,1,0,0,961
Issa Diop,defender,West Ham,a712ca2b,21,2018,78,0.36,-0.2,10.1,0.1,85.8,-0.2,0,2,64.9,132,4,210,66.7,25,43,-0.27,4,0,60.5,1,0,0,441
Ivan PeriЕЎiД‡,forward,Inter,6fe90922,29,2018,84,3.2,-2.2,17.1,0.09,67.3,-3.8,205,5,31.4,57,0,62,41.8,51,30,0.65,5,0,47.6,0,0,1,841
Ivan RadovanoviД‡,midfielder,Chievo,023937a9,29,2018,76,1.58,-0.7,30.8,0.02,85.2,-0.5,4,1,35.5,53,0,49,100.0,105,37,-0.7,6,0,52.4,0,1,0,841
Ivan RakitiД‡,midfielder,Barcelona,89f951b5,30,2018,86,1.23,0.4,22.8,0.07,90.3,3.0,24,1,32.4,81,0,66,63.3,285,25,0.81,7,1,64.9,0,1,0,900
Jack Cork,midfielder,Burnley,74e12f1e,29,2018,76,0.46,-0.4,16.6,0.08,80.3,-0.2,14,1,39.1,80,2,96,73.7,105,63,-0.43,6,0,39.5,0,1,0,841
Jack Stephens,defender,Southampton,6adbc307,24,2018,74,0.37,0.0,9.9,0.14,74.2,-0.2,2,0,57.1,62,2,118,71.4,52,35,-0.35,4,0,56.7,1,0,0,576
Jadon Sancho,forward,Dortmund,dbf053da,18,2018,84,1.46,5.0,14.6,0.18,79.7,6.3,110,15,32.3,33,1,9,60.8,68,36,0.68,2,0,5.0,0,0,1,324
Jakub Jankto,midfielder,Sampdoria,1ea5f91c,22,2018,75,2.15,-1.7,20.3,0.07,77.5,-0.8,43,0,26.7,16,0,18,20.0,30,22,-0.5,2,0,30.8,0,1,0,484
Jamaal Lascelles,defender,Newcastle Utd,450ab6fc,24,2018,78,0.36,-0.6,11.2,0.06,76.3,0.1,2,0,78.6,71,3,272,100.0,33,36,-0.37,4,0,67.2,1,0,0,576
James McArthur,midfielder,Crystal Palace,cee31595,30,2018,76,1.0,-1.1,15.0,0.12,78.5,2.7,15,1,38.5,123,0,78,64.5,103,49,-0.08,7,0,45.6,0,1,0,900
James Milner,forward,Liverpool,2f90f6b8,32,2018,81,1.06,0.9,22.7,0.05,80.3,-1.3,134,5,36.6,61,0,33,75.0,131,12,1.16,6,1,40.4,0,0,1,1024
James Tarkowski,defender,Burnley,15ea812b,25,2018,79,0.64,-0.3,7.2,0.16,68.9,0.7,5,0,58.0,113,2,306,77.8,87,63,-0.41,8,0,68.3,1,0,0,625
James Tomkins,defender,Crystal Palace,e7ca0439,29,2018,78,0.77,-0.4,12.9,0.07,82.6,0.1,1,0,53.6,68,3,204,50.0,52,37,-0.03,5,0,50.8,1,0,0,841
James Ward-Prowse,forward,Southampton,3515d404,23,2018,79,1.39,3.3,20.9,0.09,68.7,-3.2,145,0,32.6,63,0,67,45.5,56,41,-0.28,4,0,30.9,0,0,1,529
Jamie Vardy,forward,Leicester City,45963054,31,2018,85,2.44,-0.4,13.3,0.2,62.9,-1.1,28,4,23.5,20,0,31,37.5,17,36,0.32,3,1,39.0,0,0,1,961
Jan Bednarek,defender,Southampton,4115ce4e,22,2018,77,0.21,-0.8,7.5,0.16,68.4,0.3,1,0,56.8,112,0,179,33.3,43,37,-0.22,7,0,56.8,1,0,0,484
Janik Haberer,midfielder,Freiburg,70dcf94d,24,2018,75,1.0,-0.3,22.1,0.05,78.3,-0.3,19,3,40.0,107,0,53,63.2,72,47,-0.61,5,1,48.6,0,1,0,576
Jannik Vestergaard,defender,Southampton,1900032e,25,2018,78,0.62,-0.7,15.8,0.05,75.7,-0.6,1,1,62.2,88,1,183,76.9,52,31,-0.24,2,0,62.5,1,0,0,625
Jason,midfielder,Levante,9038c2a1,24,2018,75,1.24,-1.2,20.6,0.1,66.8,0.2,68,5,28.2,90,0,51,37.2,51,39,-0.59,10,0,50.8,0,1,0,576
Jean-Eudes Aholou,midfielder,Monaco,48b28bfd,24,2018,74,1.09,-0.8,18.8,0.06,84.3,0.4,5,3,50.0,37,0,10,58.8,50,13,0.14,2,0,46.8,0,1,0,576
Jean-KГ©vin Augustin,forward,RB Leipzig,97bfa797,21,2018,76,2.54,0.2,12.6,0.25,78.4,-0.8,2,3,0.0,5,0,0,42.9,3,6,0.8,0,0,6.3,0,0,1,441
Jean-Philippe Gbamin,midfielder,Mainz 05,6bd603db,22,2018,79,1.21,0.6,31.2,0.04,79.0,-0.9,26,2,45.1,81,1,56,53.0,111,48,-0.31,3,0,57.3,0,1,0,484
Jean-Victor Makengo,midfielder,Nice,22bfb57e,20,2018,70,1.14,-0.4,17.4,0.11,85.0,-1.0,5,2,20.0,19,0,6,78.8,29,11,-0.05,3,0,17.2,0,1,0,400
Jeff Hendrick,midfielder,Burnley,989d5705,26,2018,75,0.83,1.2,16.8,0.1,72.9,-0.8,24,1,28.1,36,0,40,42.9,33,44,-0.61,4,0,37.0,0,1,0,676
Jeffrey Gouweleeuw,defender,Augsburg,1025db8e,27,2018,78,0.34,-0.7,19.7,0.09,76.5,0.0,5,1,61.5,98,1,146,52.6,100,46,-0.42,4,0,54.2,1,0,0,729
Jeffrey Schlupp,midfielder,Crystal Palace,3312f911,25,2018,74,1.51,0.8,14.8,0.12,74.3,-0.2,17,1,37.0,60,1,34,55.0,55,26,-0.21,1,0,47.3,0,1,0,625
Jeison Murillo,defender,Barcelona,b233e8e4,26,2018,79,0.8,0.0,13.3,0.05,92.1,0.0,0,0,0.0,2,1,8,0.0,11,1,-0.1,0,0,44.4,1,0,0,676
Jens Stryger Larsen,defender,Udinese,f91e81c9,27,2018,74,0.45,-0.8,21.0,0.11,76.3,0.9,79,0,50.0,68,1,114,42.3,129,51,-0.39,6,0,48.3,1,0,0,729
Jesse Lingard,forward,Manchester Utd,810e3c74,25,2018,82,1.68,-0.9,17.6,0.13,83.5,-0.7,18,4,25.0,39,1,11,44.8,53,26,0.56,3,0,15.6,0,0,1,625
JesГєs Navas,midfielder,Sevilla,3f10bd22,32,2018,82,1.06,-0.5,20.8,0.05,73.1,-1.2,194,5,66.7,57,0,83,77.8,109,42,0.46,8,0,26.3,0,1,0,1024
Joachim Andersen,defender,Sampdoria,e34fc66d,22,2018,78,0.41,-1.0,15.3,0.08,88.6,0.3,1,0,61.3,75,1,277,93.8,139,42,-0.16,7,0,55.2,1,0,0,484
JoaquГ­n,forward,Betis,4c5b14d2,37,2018,80,1.22,2.8,20.0,0.14,79.8,-3.5,92,10,42.9,24,1,32,73.8,43,21,0.07,5,0,45.2,0,0,1,1369
JoaquГ­n Correa,forward,Lazio,45b9b619,23,2018,80,3.27,-3.0,17.6,0.11,84.4,-0.6,17,20,27.8,23,0,14,56.9,56,25,0.55,5,0,36.5,0,0,1,529
Joe Gomez,defender,Liverpool,7a11550b,21,2018,80,0.42,-0.3,16.2,0.07,85.5,-0.4,7,0,60.0,32,0,55,80.0,34,4,0.95,2,0,55.8,1,0,0,441
Joel Ward,defender,Crystal Palace,8a7ff278,28,2018,73,0.33,0.4,7.0,0.28,71.8,-0.1,7,0,30.0,22,0,33,50.0,17,14,0.29,1,0,56.3,1,0,0,784
John Brooks,defender,Wolfsburg,e27da244,25,2018,79,0.66,0.4,9.7,0.14,85.9,1.2,0,0,48.1,66,3,187,80.0,93,43,-0.02,7,0,73.3,1,0,0,625
John Guidetti,forward,AlavГ©s,99bebd12,26,2018,76,1.43,0.6,13.4,0.14,66.0,0.0,10,0,0.0,5,0,7,25.0,5,13,-0.36,2,0,42.1,0,0,1,676
John Stones,defender,Manchester City,5eecec3d,24,2018,83,0.26,-0.3,10.6,0.07,94.2,-0.2,2,0,44.4,30,1,123,75.0,107,15,1.36,1,0,66.3,1,0,0,576
Jonas Hofmann,midfielder,M'Gladbach,2903a856,26,2018,78,1.6,0.1,22.7,0.12,80.9,1.7,56,1,24.3,53,1,28,40.7,103,26,0.21,2,0,17.9,0,1,0,676
