Player,Pos,Squad,id,Age,Season,RATING,Gls,SoT%,Cmp%,Ast,Tkl%,Clr,Att.5,Succ%,PPM,CrdY,CrdR,Won%,def,mid,forw,Age^2
Sead KolaЕЎinac,defender,Arsenal,3935e52e,24,2017,80,2,28.6,79.4,4,51.3,56,22,54.5,1.89,3,0,59.5,1,0,0,576
Sebastian Rudy,midfielder,Bayern Munich,80f36c88,27,2017,81,1,31.6,87.2,4,50.9,7,14,42.9,2.44,2,0,72.0,0,1,0,729
Seko Fofana,midfielder,Udinese,5313ed43,22,2017,75,3,22.5,83.2,0,20.0,26,54,66.7,0.96,4,1,47.4,0,1,0,484
Serge Gnabry,forward,Hoffenheim,88e357ef,22,2017,82,10,45.8,74.3,5,54.2,9,88,51.1,1.77,0,0,18.9,0,0,1,484
Sergej MilinkoviД‡-SaviД‡,midfielder,Lazio,4e6dbac4,22,2017,85,12,37.4,78.2,4,25.0,36,92,59.8,1.94,8,0,55.6,0,1,0,484
Sergio Busquets,midfielder,Barcelona,5ab0ea87,29,2017,89,1,60.0,90.3,4,49.4,15,23,78.3,2.45,8,0,65.4,0,1,0,841
Sergio CГіrdova,forward,Augsburg,229cd98a,19,2017,67,2,42.9,73.5,1,75.0,6,16,37.5,1.12,3,0,31.0,0,0,1,361
Sergio Ramos,defender,Real Madrid,08511d65,31,2017,91,4,48.0,89.4,1,67.9,91,11,81.8,1.81,9,2,65.1,1,0,0,961
Shane Long,forward,Southampton,9f472354,30,2017,74,2,39.4,64.7,1,33.3,29,14,64.3,1.0,6,0,40.4,0,0,1,900
Simon KjГ¦r,defender,Sevilla,8b8a56ce,28,2017,79,2,22.2,84.3,0,59.1,109,1,100.0,1.25,3,0,67.2,1,0,0,784
Simone Verdi,forward,Bologna,0375723e,25,2017,81,10,30.0,68.1,8,25.6,12,119,65.5,0.97,2,0,13.3,0,0,1,625
Sofiane Boufal,forward,Southampton,b0c71810,23,2017,77,2,20.0,74.3,2,34.3,6,96,63.5,0.81,1,0,33.3,0,0,1,529
Solly March,midfielder,Brighton,bb5fbd2b,23,2017,72,1,32.1,68.3,1,40.7,49,82,58.5,1.08,3,0,31.1,0,1,0,529
Stanislav Lobotka,midfielder,Celta Vigo,e1cbb531,22,2017,78,0,37.5,90.5,0,35.4,22,48,91.7,1.29,2,0,44.1,0,1,0,484
Stefan Ilsanker,forward,RB Leipzig,8494acc4,28,2017,75,0,20.0,83.1,1,56.4,55,6,66.7,1.38,3,1,52.9,0,0,1,784
Stefan Posch,defender,Hoffenheim,7f609bfc,20,2017,67,0,66.7,83.3,0,55.6,30,7,28.6,1.33,3,0,58.3,1,0,0,400
Stefan SaviД‡,defender,AtlГ©tico Madrid,f6ac68c1,26,2017,83,0,33.3,81.4,0,41.0,150,4,100.0,1.93,6,0,70.8,1,0,0,676
Stefan de Vrij,defender,Lazio,d0d8dd44,25,2017,84,6,50.0,91.1,0,60.9,156,9,88.9,1.83,3,0,64.7,1,0,0,625
Stefano Okaka,forward,Watford,601ef102,27,2017,74,1,20.0,65.6,1,50.0,0,18,77.8,0.87,2,0,44.0,0,0,1,729
Stefano Sensi,midfielder,Sassuolo,b70bde8f,21,2017,73,2,23.8,80.0,0,40.9,10,18,66.7,1.12,2,0,25.0,0,1,0,441
Stevan JovetiД‡,forward,Monaco,f36c432f,27,2017,80,8,42.9,66.9,1,0.0,3,11,54.5,2.0,1,0,45.6,0,0,1,729
StГ©phane Bahoken,forward,Strasbourg,5046b7d4,25,2017,70,7,40.5,68.8,1,18.2,1,19,36.8,1.0,5,0,34.1,0,0,1,625
Suat Serdar,midfielder,Mainz 05,b3325a30,20,2017,74,2,33.3,79.4,0,42.2,17,62,46.8,1.12,3,0,46.2,0,1,0,400
SГ©amus Coleman,defender,Everton,0420d84f,28,2017,80,0,40.0,71.5,1,54.5,29,36,69.4,1.75,0,0,56.0,1,0,0,784
Tanguy Ndombele,midfielder,Lyon,5cdddffa,20,2017,80,0,19.2,88.9,6,27.5,9,104,76.9,2.0,5,0,68.0,0,1,0,400
Theo HernГЎndez,defender,Real Madrid,d4c9725f,19,2017,76,0,100.0,84.3,0,52.0,20,40,55.0,2.62,1,0,71.4,1,0,0,361
Theo Walcott,forward,Everton,1ecb65be,28,2017,79,3,42.1,69.3,3,46.7,12,46,58.7,1.5,2,0,29.2,0,0,1,784
Thiago Mendes,midfielder,Lille,c6e5d20f,25,2017,76,3,33.3,84.4,4,21.7,29,48,81.3,1.13,4,1,60.0,0,1,0,625
Thiago Silva,defender,Paris S-G,86e7deaf,32,2017,88,1,27.3,95.8,0,57.1,114,1,100.0,2.56,5,0,69.1,1,0,0,1024
Thilo Kehrer,defender,Schalke 04,51dbeea9,20,2017,78,3,47.1,82.8,0,67.6,113,24,62.5,1.86,4,0,53.4,1,0,0,400
Thomas Delaney,midfielder,Werder Bremen,fe641c1a,25,2017,79,3,23.2,70.7,4,67.9,74,20,40.0,1.28,5,0,59.4,0,1,0,625
Thomas Lemar,midfielder,Monaco,4dbd0916,21,2017,83,2,23.4,77.0,8,24.4,16,89,51.7,2.2,1,0,31.8,0,1,0,441
Thomas Mangani,midfielder,Angers,c801616a,30,2017,76,2,25.0,71.6,6,23.3,45,36,55.6,1.14,7,0,39.8,0,1,0,900
Thomas Meunier,defender,Paris S-G,e162b013,25,2017,82,4,45.5,81.8,4,52.9,54,26,73.1,2.25,3,0,67.6,1,0,0,625
Thomas Monconduit,midfielder,Amiens,84d94b91,26,2017,76,1,14.8,78.4,3,39.1,81,52,71.2,1.21,7,1,61.7,0,1,0,676
Thomas MГјller,midfielder,Bayern Munich,3c6089ab,27,2017,86,8,40.9,73.4,14,48.1,14,32,37.5,2.48,4,0,41.3,0,1,0,729
Thomas Partey,forward,AtlГ©tico Madrid,529f49ab,24,2017,82,3,13.6,82.3,0,47.8,34,53,84.9,2.06,6,0,58.0,0,0,1,576
Thorgan Hazard,midfielder,M'Gladbach,50871bcc,24,2017,83,10,34.6,71.4,5,37.0,18,120,43.3,1.38,1,0,33.3,0,1,0,576
Timo Werner,forward,RB Leipzig,49fe9070,21,2017,84,13,40.9,70.9,7,15.8,11,77,32.5,1.47,1,0,36.8,0,0,1,441
Timothy Castagne,defender,Atalanta,197640fd,21,2017,71,0,44.4,80.6,1,48.1,48,24,54.2,1.8,4,0,30.0,1,0,0,441
Timothy Fosu-Mensah,defender,Crystal Palace,a9142dc3,19,2017,74,0,0.0,71.8,0,61.8,74,18,61.1,0.81,2,0,46.3,1,0,0,361
Timothy Weah,forward,Paris S-G,8eec784d,17,2017,69,0,100.0,72.2,0,100.0,0,0,0.0,2.33,1,0,0.0,0,0,1,289
Tobias Strobl,midfielder,M'Gladbach,17780d2b,27,2017,75,0,0.0,87.0,1,0.0,2,1,100.0,1.75,0,0,100.0,0,1,0,729
Tom Davies,midfielder,Everton,9228b07c,19,2017,75,2,14.3,76.5,1,22.2,21,37,70.3,1.42,7,0,34.6,0,1,0,361
TomГЎs RincГіn,midfielder,Torino,f1cfc209,29,2017,77,1,29.4,82.2,0,36.4,61,56,82.1,1.33,12,0,59.5,0,1,0,841
Toni Kroos,midfielder,Real Madrid,6ce1f46f,27,2017,90,5,41.5,88.7,7,37.3,10,32,75.0,1.81,4,0,61.1,0,1,0,729
Tony Jantschke,defender,M'Gladbach,34b54da7,27,2017,75,0,0.0,71.2,1,61.5,25,7,28.6,1.38,2,0,64.0,1,0,0,729
Trent Alexander-Arnold,defender,Liverpool,cd1acf9d,18,2017,78,1,41.7,73.6,1,61.1,46,33,60.6,1.89,3,0,22.7,1,0,0,324
Tristan DingomГ©,midfielder,Troyes,92b56413,26,2017,71,0,40.0,79.6,0,38.5,16,9,66.7,1.29,4,0,41.2,0,1,0,676
Tyrone Mings,defender,Bournemouth,8397a50c,24,2017,70,0,0.0,78.4,0,0.0,13,1,100.0,1.5,1,0,50.0,1,0,0,576
Valentin Rongier,midfielder,Nantes,ed45c4a5,22,2017,79,1,21.4,86.2,2,26.6,13,50,70.0,1.13,1,0,46.6,0,1,0,484
Victor LindelГ¶f,defender,Manchester Utd,f5deef4c,23,2017,79,0,0.0,90.6,0,64.3,67,5,80.0,2.0,1,0,46.7,1,0,0,529
Vincent Manceau,defender,Angers,c26a3918,28,2017,74,0,18.8,76.5,0,55.3,103,24,66.7,1.21,0,0,53.6,1,0,0,784
Vincent Pajot,midfielder,Saint-Г‰tienne,f86ca403,26,2017,73,2,25.0,76.9,2,17.6,34,7,57.1,1.05,5,1,60.0,0,1,0,676
Vincenzo Grifo,midfielder,M'Gladbach,54e4866f,24,2017,77,0,50.0,71.7,3,50.0,6,22,40.9,1.35,0,0,50.0,0,1,0,576
Virgil van Dijk,defender,Liverpool,e06683ca,26,2017,88,0,37.5,89.7,0,80.0,80,1,0.0,1.79,1,0,72.6,1,0,0,676
VladimГ­r Darida,midfielder,Hertha BSC,3eb0f2df,26,2017,78,0,32.0,77.7,3,42.3,23,26,57.7,1.24,2,0,35.9,0,1,0,676
Wahbi Khazri,forward,Rennes,2677a1de,26,2017,78,9,29.5,72.4,2,17.9,7,71,63.4,1.46,8,1,33.3,0,0,1,676
Walace,midfielder,Hamburger SV,26db8853,22,2017,73,1,33.3,79.1,2,43.2,14,25,48.0,0.67,3,0,55.8,0,1,0,484
Weston McKennie,midfielder,Schalke 04,01c3aff5,18,2017,72,0,22.2,71.1,0,40.6,32,24,33.3,1.77,3,0,55.3,0,1,0,324
Wilfred Ndidi,midfielder,Leicester City,6b47c5db,20,2017,80,0,14.6,75.3,3,37.8,103,43,76.7,1.33,8,4,61.1,0,1,0,400
Wilfried Zaha,forward,Crystal Palace,b2bc3b1f,24,2017,82,9,40.6,69.4,3,17.4,4,196,60.7,1.52,5,0,21.1,0,0,1,576
Willi Orban,defender,RB Leipzig,20030c06,24,2017,79,3,27.3,83.1,0,67.4,155,3,100.0,1.38,5,1,63.2,1,0,0,576
Wissam Ben Yedder,forward,Sevilla,942b4f90,26,2017,82,9,52.1,77.1,3,50.0,2,30,53.3,1.36,2,1,20.5,0,0,1,676
Xherdan Shaqiri,midfielder,Stoke City,6421ec64,25,2017,81,8,44.1,71.4,7,25.6,6,68,57.4,0.92,5,0,20.0,0,1,0,625
Yacine Adli,forward,Paris S-G,26777636,17,2017,65,0,0.0,100.0,0,0.0,0,0,0.0,1.0,0,0,0.0,0,0,1,289
Yannick Gerhardt,forward,Wolfsburg,62ab9184,23,2017,74,1,22.2,75.6,1,64.7,31,17,52.9,1.29,1,0,42.9,0,0,1,529
Yerry Mina,defender,Barcelona,6d5701f2,22,2017,78,0,33.3,92.6,1,66.7,16,1,100.0,1.6,2,0,66.7,1,0,0,484
Youri Tielemans,midfielder,Monaco,56f7a928,20,2017,79,0,48.0,79.7,1,30.9,20,43,55.8,2.26,1,0,53.3,0,1,0,400
Youssef En-Nesyri,forward,MГЎlaga,04e17fd5,20,2017,72,4,27.7,55.6,0,23.1,32,53,34.0,0.6,2,1,40.4,0,0,1,400
Youssouf Sabaly,defender,Bordeaux,fbbb9269,24,2017,77,0,20.0,78.9,5,63.2,104,79,64.6,1.46,3,0,49.4,1,0,0,576
Yussuf Poulsen,forward,RB Leipzig,d2416c2e,23,2017,79,4,35.9,61.5,2,58.3,8,48,45.8,1.53,1,0,57.4,0,0,1,529
Yves Bissouma,forward,Lille,6c203af0,20,2017,72,2,14.6,84.1,1,48.7,31,75,73.3,0.96,3,0,66.7,0,0,1,400
Zaydou Youssouf,forward,Bordeaux,e2f9bb5f,18,2017,69,0,0.0,67.9,0,50.0,1,7,42.9,2.0,2,0,100.0,0,0,1,324
ГЃdГЎm Szalai,forward,Hoffenheim,53e07d0b,29,2017,76,5,40.7,73.4,1,40.0,10,15,33.3,1.44,2,0,47.6,0,0,1,841
ГЃngel Correa,midfielder,AtlГ©tico Madrid,01eb744d,22,2017,80,8,55.3,71.0,4,14.0,17,127,54.3,2.14,4,1,16.7,0,1,0,484
ГЃngel Di MarГ­a,forward,Paris S-G,19cda00b,29,2017,84,11,40.2,71.0,6,17.9,8,86,55.8,2.43,1,0,0.0,0,0,1,841
Г‡aДџlar SГ¶yГјncГј,defender,Freiburg,21166ff4,21,2017,75,1,33.3,81.2,0,57.7,91,11,72.7,1.0,5,2,58.4,1,0,0,441
Г“scar Duarte,defender,Espanyol,aa0ac32d,28,2017,75,0,0.0,78.7,0,36.4,60,1,100.0,1.27,1,0,69.6,1,0,0,784
Д°lkay GГјndoДџan,midfielder,Manchester City,819b3158,26,2017,84,4,29.4,91.3,1,24.3,12,35,74.3,2.6,3,0,20.0,0,1,0,676
Aaron Cresswell,defender,West Ham,4f974391,28,2018,76,0,0.0,78.4,1,52.0,58,13,46.2,1.3,1,0,58.1,1,0,0,784
Aaron Ramsey,midfielder,Arsenal,ef619b0b,27,2018,83,4,39.4,80.8,6,28.0,3,23,52.2,1.93,0,0,39.4,0,1,0,729
Abdou Diallo,defender,Dortmund,fc62f087,22,2018,79,1,40.0,88.3,1,73.3,91,54,74.1,2.07,1,1,55.1,1,0,0,484
Abdoulaye Bamba,defender,Angers,7fecbcdb,28,2018,73,0,0.0,75.6,4,54.5,86,26,57.7,1.33,6,0,44.0,1,0,0,784
Abdoulaye DoucourГ©,midfielder,Watford,02b29014,25,2018,81,5,30.8,82.6,6,33.3,55,55,58.2,1.37,7,0,52.6,0,1,0,625
Abdoulaye TourГ©,midfielder,Nantes,ef7cd87a,24,2018,75,3,25.5,79.2,1,33.9,29,59,71.2,1.35,4,1,47.5,0,1,0,576
Achraf Hakimi,defender,Dortmund,e42d61c7,19,2018,82,2,25.0,85.0,4,47.2,45,61,62.3,2.57,4,0,45.5,1,0,0,361
Adam Lallana,midfielder,Liverpool,99813635,30,2018,79,0,20.0,80.4,0,41.7,4,11,72.7,2.54,1,0,38.1,0,1,0,900
Adam MaruЕЎiД‡,defender,Lazio,d4535821,25,2018,77,1,37.5,80.8,1,64.0,36,49,44.9,1.58,2,1,54.4,1,0,0,625
Adam Ounas,midfielder,Napoli,ed90babd,21,2018,75,3,38.1,78.5,0,18.2,0,34,55.9,2.06,0,0,33.3,0,1,0,441
Adama Soumaoro,defender,Lille,7b075c75,26,2018,78,0,0.0,94.3,1,66.7,92,8,75.0,2.1,6,1,60.0,1,0,0,676
Ademola Lookman,forward,Everton,7c104bb7,20,2018,76,0,25.0,81.8,2,66.7,2,35,65.7,1.29,0,0,54.5,0,0,1,400
Admir Mehmedi,forward,Wolfsburg,b500b384,27,2018,78,6,36.1,71.7,5,40.9,9,29,44.8,1.69,1,0,38.1,0,0,1,729
Adnan Januzaj,forward,Real Sociedad,4737cebe,23,2018,79,1,18.8,66.2,3,23.1,6,105,61.9,1.35,1,0,17.6,0,0,1,529
Adrien Tameze,midfielder,Nice,8da74c05,24,2018,75,0,21.1,88.8,3,42.4,59,67,59.7,1.43,7,0,45.1,0,1,0,576
Adrien Thomasson,midfielder,Strasbourg,c76b7567,24,2018,76,5,32.1,75.4,8,31.8,12,32,65.6,1.26,5,1,23.7,0,1,0,576
Ainsley Maitland-Niles,defender,Arsenal,e3a5814e,20,2018,75,1,60.0,78.8,1,50.0,15,33,57.6,1.38,2,1,33.3,1,0,0,400
Alberto Grassi,midfielder,Parma,6cc97b6a,23,2018,75,0,20.0,79.0,0,20.0,10,7,71.4,1.57,0,0,50.0,0,1,0,529
Albin Ekdal,midfielder,Sampdoria,f503ea63,29,2018,76,0,6.7,86.3,0,54.4,62,42,83.3,1.38,6,0,57.1,0,1,0,841
Alessandro Bastoni,defender,Parma,75b86fb3,19,2018,72,1,66.7,80.6,0,40.0,96,7,71.4,1.21,2,0,46.8,1,0,0,361
Alessandro Florenzi,midfielder,Roma,e288d4b3,27,2018,81,3,25.7,76.5,2,45.9,58,24,33.3,1.83,5,1,38.5,0,1,0,729
Alessandro SchГ¶pf,forward,Schalke 04,106bca06,24,2018,77,1,16.7,79.3,0,41.4,12,27,59.3,1.2,3,0,33.3,0,0,1,576
Alessio Romagnoli,defender,Milan,3ead85f9,23,2018,83,2,36.4,90.9,0,84.2,173,1,100.0,1.69,6,1,68.3,1,0,0,529
Alex Ferrari,defender,Sampdoria,d0dbca9f,24,2018,69,0,0.0,87.8,0,71.4,26,1,0.0,0.83,2,0,75.0,1,0,0,576
Alex Iwobi,forward,Arsenal,6ca5ec4b,22,2018,79,3,40.0,74.6,6,24.0,13,85,54.1,1.83,0,0,16.0,0,0,1,484
Alex Oxlade-Chamberlain,midfielder,Liverpool,38c7feef,24,2018,80,0,100.0,76.9,0,100.0,0,1,100.0,3.0,0,0,0.0,0,1,0,576
Alex Sandro,defender,Juventus,0d82903c,27,2018,85,1,36.4,80.7,2,58.3,71,56,51.8,2.55,7,0,59.1,1,0,0,729
Alexander Djiku,defender,Caen,43e7a164,23,2018,77,1,14.3,82.9,0,53.5,183,13,61.5,0.94,9,1,61.0,1,0,0,529
Alexander Hack,defender,Mainz 05,a5ec3ede,24,2018,74,1,16.7,75.3,1,67.9,59,10,80.0,1.43,1,0,59.5,1,0,0,576
Alexandre Lacazette,forward,Arsenal,9dbb75ca,27,2018,86,13,34.6,72.0,8,17.9,31,69,66.7,1.74,2,0,33.1,0,0,1,729
Alexis SГЎnchez,forward,Manchester Utd,2c0f8e9e,29,2018,82,1,52.9,70.9,3,38.5,2,27,51.9,1.85,3,0,24.1,0,0,1,841
Alfred Duncan,midfielder,Sassuolo,528492ea,25,2018,75,4,36.0,79.6,4,39.6,18,34,55.9,1.35,7,1,33.3,0,1,0,625
Allan Saint-Maximin,forward,Nice,2b16cb1a,21,2018,79,6,21.9,72.1,3,14.3,3,252,56.7,1.47,2,0,49.2,0,0,1,441
Almamy TourГ©,forward,Eint Frankfurt,c8c60119,22,2018,74,0,0.0,72.2,0,62.5,25,13,84.6,1.86,0,0,51.7,0,0,1,484
Amadou Diawara,midfielder,Napoli,bf309d24,21,2018,75,0,10.0,92.5,0,80.0,12,9,100.0,2.46,4,0,60.0,0,1,0,441
Ambroise Oyongo,defender,Montpellier,e3e05edf,27,2018,74,2,25.0,69.8,0,52.6,60,54,53.7,1.77,5,0,27.7,1,0,0,729
Amine Harit,midfielder,Schalke 04,e7d59f4f,21,2018,79,1,41.7,79.6,1,33.3,2,52,69.2,0.67,1,0,31.8,0,1,0,441
Anastasios Donis,forward,Stuttgart,0f26fd24,21,2018,73,5,33.3,71.3,2,27.3,0,29,62.1,0.96,4,0,21.7,0,0,1,441
Ander Herrera,midfielder,Manchester Utd,436a9dd0,28,2018,82,2,38.1,87.1,3,34.4,25,17,70.6,2.05,4,0,26.3,0,1,0,784
Andrea Conti,defender,Milan,8fef5412,24,2018,75,0,0.0,82.1,2,22.2,12,7,71.4,1.67,3,0,45.5,1,0,0,576
Andrea Petagna,forward,SPAL,03f946ed,23,2018,77,16,42.2,77.3,1,22.2,15,68,44.1,1.14,8,0,36.6,0,0,1,529
Andrea Ranocchia,midfielder,Inter,539230cf,30,2018,75,0,50.0,53.3,0,0.0,3,0,0.0,1.5,1,0,46.2,0,1,0,900
Andreas Christensen,defender,Chelsea,1cb49278,22,2018,80,0,0.0,92.8,0,40.0,29,1,100.0,1.75,1,0,54.5,1,0,0,484
Andrei Girotto,midfielder,Nantes,3befc2b6,26,2018,77,2,25.0,79.1,0,45.5,43,4,50.0,1.5,6,3,57.9,0,1,0,676
Andrej KramariД‡,midfielder,Hoffenheim,603cb947,27,2018,83,17,36.5,76.1,4,15.4,13,52,53.8,1.57,2,0,28.6,0,1,0,729
Andrew Robertson,defender,Liverpool,2e4f5f03,24,2018,85,0,31.3,80.5,11,55.7,57,48,58.3,2.53,4,0,46.2,1,0,0,576
Andriy Yarmolenko,midfielder,West Ham,849c826a,28,2018,79,2,33.3,78.0,0,66.7,4,3,66.7,0.78,2,0,50.0,0,1,0,784
Andros Townsend,forward,Crystal Palace,b28bbd58,27,2018,78,6,30.2,71.2,4,39.3,28,100,58.0,1.29,1,0,25.0,0,0,1,729
AndrГ© Hahn,forward,Augsburg,cd82452e,27,2018,74,4,37.8,53.2,4,41.5,32,43,39.5,1.07,7,0,45.4,0,0,1,729
AndrГ©s Guardado,forward,Betis,ef322658,31,2018,81,0,19.2,86.3,4,23.4,28,35,68.6,1.26,8,0,35.7,0,0,1,961
Andy Delort,forward,Montpellier,d33c706e,26,2018,78,14,28.4,58.9,7,23.5,7,94,57.4,1.61,4,0,44.4,0,0,1,676
Angelo Fulgini,midfielder,Angers,4b96c347,21,2018,75,4,37.9,74.3,1,38.7,15,46,41.3,1.1,1,0,46.3,0,1,0,441
Angelo Ogbonna,defender,West Ham,74b2cd7e,30,2018,77,1,35.7,83.3,1,60.9,101,1,100.0,1.21,2,0,68.7,1,0,0,900
Ante RebiД‡,forward,Eint Frankfurt,536cebe5,24,2018,80,9,45.9,53.5,4,41.7,3,93,50.5,1.61,4,1,41.1,0,0,1,576
Anthony Martial,forward,Manchester Utd,8b788c01,22,2018,83,10,57.9,76.2,2,9.1,8,65,49.2,1.63,2,0,50.0,0,0,1,484
Antoine Griezmann,forward,AtlГ©tico Madrid,df69b544,27,2018,89,15,38.2,74.4,8,28.6,21,44,45.5,1.97,5,0,42.3,0,0,1,729
Antonio Candreva,forward,Inter,356c9002,31,2018,79,1,33.3,69.0,0,12.5,9,11,54.5,1.78,0,0,25.0,0,0,1,961
Antonio RГјdiger,defender,Chelsea,18b896d6,25,2018,82,1,22.2,91.2,0,55.6,96,5,80.0,1.85,7,0,53.3,1,0,0,625
Antonio Sanabria,forward,Betis,0a447501,22,2018,77,2,6.3,73.0,0,16.7,4,5,80.0,1.33,2,0,47.7,0,0,1,484
AntonГ­n BarГЎk,midfielder,Udinese,01efac19,23,2018,77,0,0.0,81.8,0,18.2,2,4,75.0,0.88,0,0,50.0,0,1,0,529
Arkadiusz Milik,forward,Napoli,85613cf0,24,2018,83,17,45.9,81.3,3,5.0,15,17,47.1,2.0,4,0,39.1,0,0,1,576
Armando Izzo,defender,Torino,89976232,26,2018,81,4,32.0,77.2,1,62.3,149,14,64.3,1.7,6,0,66.9,1,0,0,676
Arne Maier,midfielder,Hertha BSC,ab700320,19,2018,76,0,30.0,85.8,0,24.0,35,31,71.0,1.29,2,0,48.8,0,1,0,361
Arthur Masuaku,defender,West Ham,57df7a11,24,2018,76,0,25.0,79.9,1,55.4,72,50,72.0,1.61,2,0,51.2,1,0,0,576
Ashley Barnes,forward,Burnley,2691c772,28,2018,78,12,44.4,57.7,2,20.7,25,13,53.8,1.0,8,0,34.8,0,0,1,784
Ashley Westwood,midfielder,Burnley,495945ef,28,2018,77,2,31.8,73.3,7,35.9,42,14,57.1,1.15,5,0,51.4,0,1,0,784
Ashley Young,defender,Manchester Utd,be927d03,33,2018,77,2,25.0,72.2,2,51.3,74,34,50.0,1.63,9,1,64.5,1,0,0,1089
Aymen Barkok,midfielder,DГјsseldorf,a2a85828,20,2018,70,0,0.0,74.1,0,21.1,3,10,70.0,1.0,0,0,60.0,0,1,0,400
Aymeric Laporte,defender,Manchester City,119b9a8e,24,2018,87,3,26.9,91.8,3,64.7,98,6,50.0,2.54,3,0,58.0,1,0,0,576
AГЇssa Mandi,defender,Betis,fbd6378b,26,2018,80,1,50.0,92.0,1,41.4,71,9,77.8,1.34,10,0,58.2,1,0,0,676
Baptiste Santamaria,midfielder,Angers,5e22e2a4,23,2018,78,1,20.8,80.4,0,48.1,57,44,63.6,1.21,2,0,48.7,0,1,0,529
Bartosz BereszyЕ„ski,defender,Sampdoria,61b3978f,26,2018,73,0,22.2,82.2,2,47.1,76,37,62.2,1.44,6,1,44.1,1,0,0,676
Ben Chilwell,defender,Leicester City,d2424d1b,21,2018,79,0,45.5,69.6,4,43.6,156,85,57.6,1.44,4,0,60.3,1,0,0,441
Ben Davies,defender,Tottenham,44781702,25,2018,79,0,7.1,80.7,0,70.4,68,16,25.0,1.7,2,0,55.0,1,0,0,625
Ben Mee,defender,Burnley,8df7a2fb,28,2018,78,0,19.0,74.5,2,79.5,235,9,88.9,1.05,9,0,59.2,1,0,0,784
Benjamin AndrГ©,midfielder,Rennes,ef9c1c95,27,2018,78,3,32.1,78.0,1,38.8,58,32,65.6,1.2,8,1,59.0,0,1,0,729
Benjamin Bourigeaud,midfielder,Rennes,20e73fac,24,2018,77,6,31.8,74.4,5,29.9,34,32,31.3,1.41,5,0,29.4,0,1,0,576
Benjamin Henrichs,forward,Monaco,0a89e877,21,2018,75,1,20.0,72.6,2,42.1,45,22,59.1,0.59,3,0,41.9,0,0,1,441
Benjamin Pavard,defender,Stuttgart,45a03961,22,2018,79,0,33.3,84.0,0,63.2,189,12,58.3,0.86,3,0,58.3,1,0,0,484
Berat Djimsiti,defender,Atalanta,6eee05f1,25,2018,73,1,30.0,90.4,2,44.8,96,5,100.0,2.0,3,0,56.0,1,0,0,625
Bernardo Silva,midfielder,Manchester City,3eb22ec9,23,2018,87,7,35.5,83.3,7,23.9,26,88,55.7,2.56,3,0,29.7,0,1,0,529
Bertrand TraorГ©,forward,Lyon,c47541e0,22,2018,78,7,42.4,80.7,2,46.2,18,90,57.8,1.85,5,0,41.1,0,0,1,484
Borja Mayoral,forward,Levante,64e8ed6d,21,2018,77,3,62.5,79.9,2,31.3,5,42,54.8,1.0,1,0,31.8,0,0,1,441
Boubacar Kamara,defender,Marseille,cc77354e,18,2018,75,1,36.4,85.8,0,65.3,95,15,66.7,1.65,6,0,56.0,1,0,0,324
Bouna Sarr,forward,Marseille,1a4b9094,26,2018,75,1,10.5,81.3,1,61.9,56,102,53.9,1.62,3,1,57.4,0,0,1,676
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,21,2018,77,6,35.7,73.6,7,26.4,24,49,38.8,0.97,5,0,33.3,0,1,0,441
Bram Nuytinck,defender,Udinese,e33f36d5,28,2018,73,0,0.0,81.3,0,75.8,126,4,50.0,1.04,4,1,56.1,1,0,0,784
Breel Embolo,forward,Schalke 04,0b4f388a,21,2018,76,5,50.0,63.0,1,11.1,6,61,42.6,0.85,4,0,37.7,0,0,1,441
Bryan Cristante,midfielder,Roma,16657b95,23,2018,78,4,23.3,80.6,3,38.8,48,45,68.9,1.69,10,0,60.2,0,1,0,529
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,17,2018,74,0,50.0,80.1,1,50.0,0,17,70.6,1.7,0,0,50.0,0,0,1,289
Callum Wilson,forward,Bournemouth,c596fcb0,26,2018,80,14,42.9,65.3,9,0.0,16,42,40.5,1.37,3,0,34.1,0,0,1,676
Calum Chambers,forward,Fulham,dc6f5bdd,23,2018,75,2,31.4,77.9,0,33.3,113,32,68.8,0.84,9,0,54.2,0,0,1,529
Casemiro,midfielder,Real Madrid,4d224fe8,26,2018,87,3,20.0,87.2,0,40.4,56,21,81.0,1.72,7,1,61.9,0,1,0,676
Cengiz Гњnder,forward,Roma,1880614f,21,2018,78,3,30.8,72.2,7,18.2,5,43,48.8,1.73,1,0,29.4,0,0,1,441
Cenk Tosun,forward,Everton,9a104dee,27,2018,77,3,45.9,69.3,3,30.8,3,9,22.2,1.16,3,0,38.5,0,0,1,729
Cesc FГ bregas,midfielder,Monaco,33508c78,31,2018,81,1,50.0,82.1,0,28.6,5,4,75.0,1.38,2,0,28.0,0,1,0,961
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,29,2018,83,2,21.7,87.7,7,31.8,27,16,56.3,1.83,3,0,52.2,0,1,0,841
Charlie Taylor,defender,Burnley,cc2d7ad5,24,2018,76,0,0.0,71.6,1,48.0,120,76,53.9,1.05,2,0,53.8,1,0,0,576
Cheikhou KouyatГ©,midfielder,Crystal Palace,8d3c902d,28,2018,76,0,40.0,79.6,2,27.3,33,23,52.2,1.26,3,0,46.6,0,1,0,784
