"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Tony Jantschke","defender","M'Gladbach","34b54da7","27","2017","75","0","0","309","71.2","1","13","61.5","25","7","28.6","727","1.38","2","0","8","64","1","0","0","729"
"Trent Alexander-Arnold","defender","Liverpool","cd1acf9d","18","2017","78","1","41.7","963","73.6","1","37","61.1","46","33","60.6","1573","1.89","3","0","12","22.7","1","0","0","324"
"Tristan DingomГ©","midfielder","Troyes","92b56413","26","2017","71","0","40","479","79.6","0","25","38.5","16","9","66.7","1192","1.29","4","0","15","41.2","0","1","0","676"
"Tyrone Mings","defender","Bournemouth","8397a50c","24","2017","70","0","0","91","78.4","0","1","0","13","1","100","201","1.5","1","0","2","50","1","0","0","576"
"Valentin Rongier","midfielder","Nantes","ed45c4a5","22","2017","79","1","21.4","1166","86.2","2","73","26.6","13","50","70","2350","1.13","1","0","40","46.6","0","1","0","484"
"Victor LindelГ¶f","defender","Manchester Utd","f5deef4c","23","2017","79","0","0","707","90.6","0","17","64.3","67","5","80","1285","2","1","0","10","46.7","1","0","0","529"
"Vincent Manceau","defender","Angers","c26a3918","28","2017","74","0","18.8","1329","76.5","0","84","55.3","103","24","66.7","2970","1.21","0","0","25","53.6","1","0","0","784"
"Vincent Pajot","midfielder","Saint-Г‰tienne","f86ca403","26","2017","73","2","25","436","76.9","2","24","17.6","34","7","57.1","1290","1.05","5","1","36","60","0","1","0","676"
"Vincenzo Grifo","midfielder","M'Gladbach","54e4866f","24","2017","77","0","50","312","71.7","3","8","50","6","22","40.9","786","1.35","0","0","2","50","0","1","0","576"
"Virgil van Dijk","defender","Liverpool","e06683ca","26","2017","88","0","37.5","1023","89.7","0","15","80","80","1","0","1260","1.79","1","0","8","72.6","1","0","0","676"
"VladimГ­r Darida","midfielder","Hertha BSC","3eb0f2df","26","2017","78","0","32","765","77.7","3","38","42.3","23","26","57.7","1635","1.24","2","0","31","35.9","0","1","0","676"
"Wahbi Khazri","forward","Rennes","2677a1de","26","2017","78","9","29.5","528","72.4","2","26","17.9","7","71","63.4","1918","1.46","8","1","38","33.3","0","0","1","676"
"Walace","midfielder","Hamburger SV","26db8853","22","2017","73","1","33.3","519","79.1","2","38","43.2","14","25","48","1318","0.67","3","0","22","55.8","0","1","0","484"
"Weston McKennie","midfielder","Schalke 04","01c3aff5","18","2017","72","0","22.2","364","71.1","0","36","40.6","32","24","33.3","1263","1.77","3","0","37","55.3","0","1","0","324"
"Wilfred Ndidi","midfielder","Leicester City","6b47c5db","20","2017","80","0","14.6","1285","75.3","3","138","37.8","103","43","76.7","2898","1.33","8","4","60","61.1","0","1","0","400"
"Wilfried Zaha","forward","Crystal Palace","b2bc3b1f","24","2017","82","9","40.6","497","69.4","3","30","17.4","4","196","60.7","2549","1.52","5","0","45","21.1","0","0","1","576"
"Willi Orban","defender","RB Leipzig","20030c06","24","2017","79","3","27.3","1143","83.1","0","49","67.4","155","3","100","2126","1.38","5","1","27","63.2","1","0","0","576"
"Wissam Ben Yedder","forward","Sevilla","942b4f90","26","2017","82","9","52.1","371","77.1","3","12","50","2","30","53.3","1700","1.36","2","1","17","20.5","0","0","1","676"
"Xherdan Shaqiri","midfielder","Stoke City","6421ec64","25","2017","81","8","44.1","923","71.4","7","25","25.6","6","68","57.4","3039","0.92","5","0","28","20","0","1","0","625"
"Yacine Adli","forward","Paris S-G","26777636","17","2017","65","0","0","7","100","0","0","0","0","0","0","8","1","0","0","0","0","0","0","1","289"
"Yannick Gerhardt","forward","Wolfsburg","62ab9184","23","2017","74","1","22.2","489","75.6","1","37","64.7","31","17","52.9","1228","1.29","1","0","10","42.9","0","0","1","529"
"Yerry Mina","defender","Barcelona","6d5701f2","22","2017","78","0","33.3","226","92.6","1","10","66.7","16","1","100","371","1.6","2","0","6","66.7","1","0","0","484"
"Youri Tielemans","midfielder","Monaco","56f7a928","20","2017","79","0","48","676","79.7","1","47","30.9","20","43","55.8","1569","2.26","1","0","34","53.3","0","1","0","400"
"Youssef En-Nesyri","forward","MГЎlaga","04e17fd5","20","2017","72","4","27.7","190","55.6","0","31","23.1","32","53","34","1596","0.6","2","1","34","40.4","0","0","1","400"
"Youssouf Sabaly","defender","Bordeaux","fbbb9269","24","2017","77","0","20","1661","78.9","5","93","63.2","104","79","64.6","3093","1.46","3","0","38","49.4","1","0","0","576"
"Yussuf Poulsen","forward","RB Leipzig","d2416c2e","23","2017","79","4","35.9","364","61.5","2","23","58.3","8","48","45.8","1664","1.53","1","0","32","57.4","0","0","1","529"
"Yves Bissouma","forward","Lille","6c203af0","20","2017","72","2","14.6","876","84.1","1","67","48.7","31","75","73.3","1561","0.96","3","0","37","66.7","0","0","1","400"
"Zaydou Youssouf","forward","Bordeaux","e2f9bb5f","18","2017","69","0","0","36","67.9","0","3","50","1","7","42.9","131","2","2","0","3","100","0","0","1","324"
"ГЃdГЎm Szalai","forward","Hoffenheim","53e07d0b","29","2017","76","5","40.7","157","73.4","1","8","40","10","15","33.3","896","1.44","2","0","14","47.6","0","0","1","841"
"ГЃngel Correa","midfielder","AtlГ©tico Madrid","01eb744d","22","2017","80","8","55.3","633","71","4","41","14","17","127","54.3","2253","2.14","4","1","47","16.7","0","1","0","484"
"ГЃngel Di MarГ­a","forward","Paris S-G","19cda00b","29","2017","84","11","40.2","918","71","6","13","17.9","8","86","55.8","2111","2.43","1","0","8","0","0","0","1","841"
"Г‡aДџlar SГ¶yГјncГј","defender","Freiburg","21166ff4","21","2017","75","1","33.3","930","81.2","0","42","57.7","91","11","72.7","2153","1","5","2","26","58.4","1","0","0","441"
"Г“scar Duarte","defender","Espanyol","aa0ac32d","28","2017","75","0","0","380","78.7","0","12","36.4","60","1","100","990","1.27","1","0","8","69.6","1","0","0","784"
"Д°lkay GГјndoДџan","midfielder","Manchester City","819b3158","26","2017","84","4","29.4","1291","91.3","1","27","24.3","12","35","74.3","1517","2.6","3","0","14","20","0","1","0","676"
"Aaron Cresswell","defender","West Ham","4f974391","28","2018","76","0","0","848","78.4","1","29","52","58","13","46.2","1589","1.3","1","0","2","58.1","1","0","0","784"
"Aaron Ramsey","midfielder","Arsenal","ef619b0b","27","2018","83","4","39.4","652","80.8","6","34","28","3","23","52.2","1331","1.93","0","0","21","39.4","0","1","0","729"
"Abdou Diallo","defender","Dortmund","fc62f087","22","2018","79","1","40","1730","88.3","1","36","73.3","91","54","74.1","2379","2.07","1","1","21","55.1","1","0","0","484"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","28","2018","73","0","0","968","75.6","4","51","54.5","86","26","57.7","2573","1.33","6","0","21","44","1","0","0","784"
"Abdoulaye DoucourГ©","midfielder","Watford","02b29014","25","2018","81","5","30.8","1622","82.6","6","71","33.3","55","55","58.2","3062","1.37","7","0","36","52.6","0","1","0","625"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","24","2018","75","3","25.5","1096","79.2","1","48","33.9","29","59","71.2","2749","1.35","4","1","26","47.5","0","1","0","576"
"Achraf Hakimi","defender","Dortmund","e42d61c7","19","2018","82","2","25","1341","85","4","34","47.2","45","61","62.3","1740","2.57","4","0","14","45.5","1","0","0","361"
"Adam Lallana","midfielder","Liverpool","99813635","30","2018","79","0","20","251","80.4","0","16","41.7","4","11","72.7","468","2.54","1","0","4","38.1","0","1","0","900"
"Adam MaruЕЎiД‡","defender","Lazio","d4535821","25","2018","77","1","37.5","798","80.8","1","32","64","36","49","44.9","2111","1.58","2","1","31","54.4","1","0","0","625"
"Adam Ounas","midfielder","Napoli","ed90babd","21","2018","75","3","38.1","230","78.5","0","5","18.2","0","34","55.9","538","2.06","0","0","4","33.3","0","1","0","441"
"Adama Soumaoro","defender","Lille","7b075c75","26","2018","78","0","0","873","94.3","1","14","66.7","92","8","75","1723","2.1","6","1","26","60","1","0","0","676"
"Ademola Lookman","forward","Everton","7c104bb7","20","2018","76","0","25","224","81.8","2","15","66.7","2","35","65.7","618","1.29","0","0","8","54.5","0","0","1","400"
"Admir Mehmedi","forward","Wolfsburg","b500b384","27","2018","78","6","36.1","562","71.7","5","46","40.9","9","29","44.8","1692","1.69","1","0","28","38.1","0","0","1","729"
"Adnan Januzaj","forward","Real Sociedad","4737cebe","23","2018","79","1","18.8","369","66.2","3","11","23.1","6","105","61.9","1254","1.35","1","0","16","17.6","0","0","1","529"
"Adrien Tameze","midfielder","Nice","8da74c05","24","2018","75","0","21.1","1676","88.8","3","74","42.4","59","67","59.7","2942","1.43","7","0","45","45.1","0","1","0","576"
"Adrien Thomasson","midfielder","Strasbourg","c76b7567","24","2018","76","5","32.1","896","75.4","8","54","31.8","12","32","65.6","2479","1.26","5","1","24","23.7","0","1","0","576"
"Ainsley Maitland-Niles","defender","Arsenal","e3a5814e","20","2018","75","1","60","453","78.8","1","33","50","15","33","57.6","987","1.38","2","1","8","33.3","1","0","0","400"
"Alberto Grassi","midfielder","Parma","6cc97b6a","23","2018","75","0","20","94","79","0","20","20","10","7","71.4","462","1.57","0","0","9","50","0","1","0","529"
"Albin Ekdal","midfielder","Sampdoria","f503ea63","29","2018","76","0","6.7","1428","86.3","0","61","54.4","62","42","83.3","2646","1.38","6","0","46","57.1","0","1","0","841"
"Alessandro Bastoni","defender","Parma","75b86fb3","19","2018","72","1","66.7","514","80.6","0","25","40","96","7","71.4","1690","1.21","2","0","16","46.8","1","0","0","361"
"Alessandro Florenzi","midfielder","Roma","e288d4b3","27","2018","81","3","25.7","1137","76.5","2","38","45.9","58","24","33.3","2180","1.83","5","1","15","38.5","0","1","0","729"
"Alessandro SchГ¶pf","forward","Schalke 04","106bca06","24","2018","77","1","16.7","380","79.3","0","26","41.4","12","27","59.3","1004","1.2","3","0","28","33.3","0","0","1","576"
"Alessio Romagnoli","defender","Milan","3ead85f9","23","2018","83","2","36.4","1615","90.9","0","34","84.2","173","1","100","2847","1.69","6","1","20","68.3","1","0","0","529"
"Alex Ferrari","defender","Sampdoria","d0dbca9f","24","2018","69","0","0","281","87.8","0","10","71.4","26","1","0","540","0.83","2","0","3","75","1","0","0","576"
"Alex Iwobi","forward","Arsenal","6ca5ec4b","22","2018","79","3","40","767","74.6","6","28","24","13","85","54.1","1970","1.83","0","0","8","16","0","0","1","484"
"Alex Oxlade-Chamberlain","midfielder","Liverpool","38c7feef","24","2018","80","0","100","10","76.9","0","1","100","0","1","100","21","3","0","0","0","0","0","1","0","576"
"Alex Sandro","defender","Juventus","0d82903c","27","2018","85","1","36.4","1531","80.7","2","68","58.3","71","56","51.8","2387","2.55","7","0","49","59.1","1","0","0","729"
"Alexander Djiku","defender","Caen","43e7a164","23","2018","77","1","14.3","1175","82.9","0","48","53.5","183","13","61.5","2754","0.94","9","1","50","61","1","0","0","529"
"Alexander Hack","defender","Mainz 05","a5ec3ede","24","2018","74","1","16.7","420","75.3","1","29","67.9","59","10","80","1020","1.43","1","0","13","59.5","1","0","0","576"
"Alexandre Lacazette","forward","Arsenal","9dbb75ca","27","2018","86","13","34.6","581","72","8","35","17.9","31","69","66.7","2502","1.74","2","0","51","33.1","0","0","1","729"
"Alexis SГЎnchez","forward","Manchester Utd","2c0f8e9e","29","2018","82","1","52.9","290","70.9","3","17","38.5","2","27","51.9","880","1.85","3","0","14","24.1","0","0","1","841"
"Alfred Duncan","midfielder","Sassuolo","528492ea","25","2018","75","4","36","680","79.6","4","33","39.6","18","34","55.9","1848","1.35","7","1","37","33.3","0","1","0","625"
"Allan Saint-Maximin","forward","Nice","2b16cb1a","21","2018","79","6","21.9","694","72.1","3","12","14.3","3","252","56.7","2900","1.47","2","0","12","49.2","0","0","1","441"
"Almamy TourГ©","forward","Eint Frankfurt","c8c60119","22","2018","74","0","0","182","72.2","0","18","62.5","25","13","84.6","519","1.86","0","0","5","51.7","0","0","1","484"
"Amadou Diawara","midfielder","Napoli","bf309d24","21","2018","75","0","10","504","92.5","0","12","80","12","9","100","661","2.46","4","0","15","60","0","1","0","441"
"Ambroise Oyongo","defender","Montpellier","e3e05edf","27","2018","74","2","25","766","69.8","0","44","52.6","60","54","53.7","2136","1.77","5","0","23","27.7","1","0","0","729"
"Amine Harit","midfielder","Schalke 04","e7d59f4f","21","2018","79","1","41.7","347","79.6","1","15","33.3","2","52","69.2","1082","0.67","1","0","9","31.8","0","1","0","441"
"Anastasios Donis","forward","Stuttgart","0f26fd24","21","2018","73","5","33.3","139","71.3","2","15","27.3","0","29","62.1","962","0.96","4","0","21","21.7","0","0","1","441"
"Ander Herrera","midfielder","Manchester Utd","436a9dd0","28","2018","82","2","38.1","862","87.1","3","54","34.4","25","17","70.6","1403","2.05","4","0","21","26.3","0","1","0","784"
"Andrea Conti","defender","Milan","8fef5412","24","2018","75","0","0","303","82.1","2","9","22.2","12","7","71.4","500","1.67","3","0","11","45.5","1","0","0","576"
"Andrea Petagna","forward","SPAL","03f946ed","23","2018","77","16","42.2","600","77.3","1","15","22.2","15","68","44.1","3031","1.14","8","0","44","36.6","0","0","1","529"
"Andrea Ranocchia","midfielder","Inter","539230cf","30","2018","75","0","50","16","53.3","0","2","0","3","0","0","62","1.5","1","0","4","46.2","0","1","0","900"
"Andreas Christensen","defender","Chelsea","1cb49278","22","2018","80","0","0","426","92.8","0","10","40","29","1","100","617","1.75","1","0","8","54.5","1","0","0","484"
"Andrei Girotto","midfielder","Nantes","3befc2b6","26","2018","77","2","25","638","79.1","0","57","45.5","43","4","50","1475","1.5","6","3","35","57.9","0","1","0","676"
"Andrej KramariД‡","midfielder","Hoffenheim","603cb947","27","2018","83","17","36.5","820","76.1","4","9","15.4","13","52","53.8","2396","1.57","2","0","7","28.6","0","1","0","729"
"Andrew Robertson","defender","Liverpool","2e4f5f03","24","2018","85","0","31.3","2285","80.5","11","80","55.7","57","48","58.3","3216","2.53","4","0","18","46.2","1","0","0","576"
"Andriy Yarmolenko","midfielder","West Ham","849c826a","28","2018","79","2","33.3","167","78","0","4","66.7","4","3","66.7","459","0.78","2","0","8","50","0","1","0","784"
"Andros Townsend","forward","Crystal Palace","b28bbd58","27","2018","78","6","30.2","861","71.2","4","62","39.3","28","100","58","3009","1.29","1","0","10","25","0","0","1","729"
"AndrГ© Hahn","forward","Augsburg","cd82452e","27","2018","74","4","37.8","299","53.2","4","64","41.5","32","43","39.5","2052","1.07","7","0","67","45.4","0","0","1","729"
"AndrГ©s Guardado","forward","Betis","ef322658","31","2018","81","0","19.2","1453","86.3","4","24","23.4","28","35","68.6","2335","1.26","8","0","44","35.7","0","0","1","961"
"Andy Delort","forward","Montpellier","d33c706e","26","2018","78","14","28.4","716","58.9","7","34","23.5","7","94","57.4","3115","1.61","4","0","93","44.4","0","0","1","676"
"Angelo Fulgini","midfielder","Angers","4b96c347","21","2018","75","4","37.9","590","74.3","1","38","38.7","15","46","41.3","1635","1.1","1","0","21","46.3","0","1","0","441"
"Angelo Ogbonna","defender","West Ham","74b2cd7e","30","2018","77","1","35.7","665","83.3","1","31","60.9","101","1","100","1874","1.21","2","0","15","68.7","1","0","0","900"
"Ante RebiД‡","forward","Eint Frankfurt","536cebe5","24","2018","80","9","45.9","293","53.5","4","22","41.7","3","93","50.5","1978","1.61","4","1","47","41.1","0","0","1","576"
"Anthony Martial","forward","Manchester Utd","8b788c01","22","2018","83","10","57.9","573","76.2","2","9","9.1","8","65","49.2","1621","1.63","2","0","14","50","0","0","1","484"
"Antoine Griezmann","forward","AtlГ©tico Madrid","df69b544","27","2018","89","15","38.2","1123","74.4","8","31","28.6","21","44","45.5","3198","1.97","5","0","18","42.3","0","0","1","729"
"Antonio Candreva","forward","Inter","356c9002","31","2018","79","1","33.3","203","69","0","1","12.5","9","11","54.5","502","1.78","0","0","8","25","0","0","1","961"
"Antonio RГјdiger","defender","Chelsea","18b896d6","25","2018","82","1","22.2","2332","91.2","0","34","55.6","96","5","80","2871","1.85","7","0","28","53.3","1","0","0","625"
"Antonio Sanabria","forward","Betis","0a447501","22","2018","77","2","6.3","103","73","0","8","16.7","4","5","80","811","1.33","2","0","10","47.7","0","0","1","484"
"AntonГ­n BarГЎk","midfielder","Udinese","01efac19","23","2018","77","0","0","148","81.8","0","9","18.2","2","4","75","329","0.88","0","0","4","50","0","1","0","529"
"Arkadiusz Milik","forward","Napoli","85613cf0","24","2018","83","17","45.9","491","81.3","3","19","5","15","17","47.1","2396","2","4","0","43","39.1","0","0","1","576"
"Armando Izzo","defender","Torino","89976232","26","2018","81","4","32","1452","77.2","1","76","62.3","149","14","64.3","3271","1.7","6","0","56","66.9","1","0","0","676"
"Arne Maier","midfielder","Hertha BSC","ab700320","19","2018","76","0","30","1030","85.8","0","31","24","35","31","71","2064","1.29","2","0","17","48.8","0","1","0","361"
"Arthur Masuaku","defender","West Ham","57df7a11","24","2018","76","0","25","880","79.9","1","57","55.4","72","50","72","1759","1.61","2","0","16","51.2","1","0","0","576"
"Ashley Barnes","forward","Burnley","2691c772","28","2018","78","12","44.4","308","57.7","2","28","20.7","25","13","53.8","2388","1","8","0","54","34.8","0","0","1","784"
"Ashley Westwood","midfielder","Burnley","495945ef","28","2018","77","2","31.8","1118","73.3","7","58","35.9","42","14","57.1","2824","1.15","5","0","30","51.4","0","1","0","784"
"Ashley Young","defender","Manchester Utd","be927d03","33","2018","77","2","25","1369","72.2","2","52","51.3","74","34","50","2569","1.63","9","1","37","64.5","1","0","0","1089"
"Aymen Barkok","midfielder","DГјsseldorf","a2a85828","20","2018","70","0","0","169","74.1","0","13","21.1","3","10","70","510","1","0","0","9","60","0","1","0","400"
"Aymeric Laporte","defender","Manchester City","119b9a8e","24","2018","87","3","26.9","2804","91.8","3","42","64.7","98","6","50","3057","2.54","3","0","21","58","1","0","0","576"
"AГЇssa Mandi","defender","Betis","fbd6378b","26","2018","80","1","50","2407","92","1","52","41.4","71","9","77.8","3059","1.34","10","0","56","58.2","1","0","0","676"
"Baptiste Santamaria","midfielder","Angers","5e22e2a4","23","2018","78","1","20.8","1209","80.4","0","118","48.1","57","44","63.6","3245","1.21","2","0","50","48.7","0","1","0","529"
"Bartosz BereszyЕ„ski","defender","Sampdoria","61b3978f","26","2018","73","0","22.2","1298","82.2","2","46","47.1","76","37","62.2","2200","1.44","6","1","25","44.1","1","0","0","676"
"Ben Chilwell","defender","Leicester City","d2424d1b","21","2018","79","0","45.5","1544","69.6","4","55","43.6","156","85","57.6","3240","1.44","4","0","32","60.3","1","0","0","441"
"Ben Davies","defender","Tottenham","44781702","25","2018","79","0","7.1","1065","80.7","0","56","70.4","68","16","25","1844","1.7","2","0","18","55","1","0","0","625"
"Ben Mee","defender","Burnley","8df7a2fb","28","2018","78","0","19","1134","74.5","2","55","79.5","235","9","88.9","3420","1.05","9","0","27","59.2","1","0","0","784"
"Benjamin AndrГ©","midfielder","Rennes","ef9c1c95","27","2018","78","3","32.1","1174","78","1","101","38.8","58","32","65.6","2495","1.2","8","1","59","59","0","1","0","729"
"Benjamin Bourigeaud","midfielder","Rennes","20e73fac","24","2018","77","6","31.8","913","74.4","5","55","29.9","34","32","31.3","2425","1.41","5","0","35","29.4","0","1","0","576"
"Benjamin Henrichs","forward","Monaco","0a89e877","21","2018","75","1","20","770","72.6","2","58","42.1","45","22","59.1","1824","0.59","3","0","35","41.9","0","0","1","441"
"Benjamin Pavard","defender","Stuttgart","45a03961","22","2018","79","0","33.3","1275","84","0","28","63.2","189","12","58.3","2610","0.86","3","0","19","58.3","1","0","0","484"
"Berat Djimsiti","defender","Atalanta","6eee05f1","25","2018","73","1","30","946","90.4","2","32","44.8","96","5","100","1807","2","3","0","22","56","1","0","0","625"
"Bernardo Silva","midfielder","Manchester City","3eb22ec9","23","2018","87","7","35.5","1515","83.3","7","52","23.9","26","88","55.7","2854","2.56","3","0","31","29.7","0","1","0","529"
"Bertrand TraorГ©","forward","Lyon","c47541e0","22","2018","78","7","42.4","840","80.7","2","36","46.2","18","90","57.8","2117","1.85","5","0","21","41.1","0","0","1","484"
"Borja Mayoral","forward","Levante","64e8ed6d","21","2018","77","3","62.5","318","79.9","2","9","31.3","5","42","54.8","1621","1","1","0","16","31.8","0","0","1","441"
"Boubacar Kamara","defender","Marseille","cc77354e","18","2018","75","1","36.4","1219","85.8","0","67","65.3","95","15","66.7","2411","1.65","6","0","25","56","1","0","0","324"
"Bouna Sarr","forward","Marseille","1a4b9094","26","2018","75","1","10.5","1159","81.3","1","67","61.9","56","102","53.9","2242","1.62","3","1","37","57.4","0","0","1","676"
"Brais MГ©ndez","midfielder","Celta Vigo","c9e39d91","21","2018","77","6","35.7","919","73.6","7","61","26.4","24","49","38.8","2349","0.97","5","0","38","33.3","0","1","0","441"
"Bram Nuytinck","defender","Udinese","e33f36d5","28","2018","73","0","0","726","81.3","0","50","75.8","126","4","50","2127","1.04","4","1","24","56.1","1","0","0","784"
"Breel Embolo","forward","Schalke 04","0b4f388a","21","2018","76","5","50","165","63","1","22","11.1","6","61","42.6","1345","0.85","4","0","30","37.7","0","0","1","441"
"Bryan Cristante","midfielder","Roma","16657b95","23","2018","78","4","23.3","1072","80.6","3","63","38.8","48","45","68.9","2425","1.69","10","0","64","60.2","0","1","0","529"
"Callum Hudson-Odoi","forward","Chelsea","15f3ec41","17","2018","74","0","50","185","80.1","1","8","50","0","17","70.6","393","1.7","0","0","1","50","0","0","1","289"
"Callum Wilson","forward","Bournemouth","c596fcb0","26","2018","80","14","42.9","303","65.3","9","9","0","16","42","40.5","2528","1.37","3","0","41","34.1","0","0","1","676"
"Calum Chambers","forward","Fulham","dc6f5bdd","23","2018","75","2","31.4","1175","77.9","0","64","33.3","113","32","68.8","2588","0.84","9","0","34","54.2","0","0","1","529"
"Casemiro","midfielder","Real Madrid","4d224fe8","26","2018","87","3","20","1431","87.2","0","86","40.4","56","21","81","2312","1.72","7","1","47","61.9","0","1","0","676"
"Cengiz Гњnder","forward","Roma","1880614f","21","2018","78","3","30.8","413","72.2","7","6","18.2","5","43","48.8","1375","1.73","1","0","8","29.4","0","0","1","441"
"Cenk Tosun","forward","Everton","9a104dee","27","2018","77","3","45.9","183","69.3","3","13","30.8","3","9","22.2","1059","1.16","3","0","17","38.5","0","0","1","729"
"Cesc FГ bregas","midfielder","Monaco","33508c78","31","2018","81","1","50","623","82.1","0","14","28.6","5","4","75","966","1.38","2","0","6","28","0","1","0","961"
"Charles ArГЎnguiz","midfielder","Leverkusen","56413b1f","29","2018","83","2","21.7","1457","87.7","7","48","31.8","27","16","56.3","1891","1.83","3","0","27","52.2","0","1","0","841"
"Charlie Taylor","defender","Burnley","cc2d7ad5","24","2018","76","0","0","1233","71.6","1","55","48","120","76","53.9","3243","1.05","2","0","15","53.8","1","0","0","576"
"Cheikhou KouyatГ©","midfielder","Crystal Palace","8d3c902d","28","2018","76","0","40","622","79.6","2","59","27.3","33","23","52.2","1899","1.26","3","0","34","46.6","0","1","0","784"
"Chris Smalling","defender","Manchester Utd","b6964eb6","28","2018","80","1","18.2","829","86.2","0","30","64.7","109","1","100","2127","1.58","1","0","22","64.3","1","0","0","784"
"Chris Wood","forward","Burnley","4e9a0555","26","2018","77","10","39","390","63.6","2","12","29.4","26","13","61.5","2588","1.05","2","0","26","43.4","0","0","1","676"
"Christian Benteke","forward","Crystal Palace","ab070c55","27","2018","75","1","30.8","136","56.4","1","5","25","14","8","62.5","814","1.25","1","0","18","59.7","0","0","1","729"
"Christian Eriksen","midfielder","Tottenham","980522ec","26","2018","88","8","33.7","1560","77.7","12","41","28.8","13","36","50","2774","1.77","3","0","17","27.7","0","1","0","676"
"Christian GГјnter","forward","Freiburg","8593f88c","25","2018","75","0","27.6","1063","72.1","5","38","46.5","55","78","50","2879","1.03","4","1","28","27.8","0","0","1","625"
"Christian Pulisic","forward","Dortmund","1bf33a9a","19","2018","79","4","37","397","74.8","4","10","33.3","10","81","51.9","932","2.3","2","0","9","34.1","0","0","1","361"
"Christoph Kramer","midfielder","M'Gladbach","496aeede","27","2018","80","2","37.5","652","87.9","1","41","37.5","23","16","56.3","1136","1.5","6","0","24","35.7","0","1","0","729"
"Christophe HГ©relle","defender","Nice","3681cfff","25","2018","78","0","11.8","1937","88.6","0","72","80","158","14","57.1","2937","1.58","9","1","34","63.9","1","0","0","625"
"Christopher Nkunku","midfielder","Paris S-G","7c56da38","20","2018","77","3","21.7","572","88.7","2","21","43.8","7","39","59","1156","2.59","0","0","21","42.3","0","1","0","400"
"Ciaran Clark","defender","Newcastle Utd","2b91cf8e","28","2018","75","3","42.9","231","74.5","0","20","75","58","0","0","858","0.91","1","0","6","64.6","1","0","0","784"
"Ciro Immobile","forward","Lazio","4431aed2","28","2018","86","15","37.5","727","75.8","6","12","44.4","8","81","38.3","2859","1.47","6","0","24","28.6","0","0","1","784"
"ClГ©ment Lenglet","defender","Barcelona","4f28a6ff","23","2018","85","1","33.3","1024","89.3","0","47","61.1","70","6","100","1933","2.43","8","1","30","57.9","1","0","0","529"
"Corentin Jean","forward","Toulouse","7d9b37bf","23","2018","72","0","42.9","144","70.6","0","9","25","5","13","38.5","629","1.26","1","0","8","32.5","0","0","1","529"
"Corentin Tolisso","midfielder","Bayern Munich","652d4c37","23","2018","83","1","100","34","79.1","0","0","0","0","0","0","52","3","0","0","0","100","0","1","0","529"
"Cristiano Biraghi","defender","Fiorentina","9e1577aa","25","2018","75","1","18.2","1359","70","4","52","47.4","113","26","57.7","3194","1.06","8","0","36","70.9","1","0","0","625"
"Damien Da Silva","defender","Rennes","1ec7e1c5","30","2018","78","2","21.4","1247","87.6","1","41","75","152","10","80","2874","1.45","4","0","25","64.4","1","0","0","900"
"DamiГЎn SuГЎrez","defender","Getafe","ba5004e1","30","2018","79","0","6.7","1317","65.9","3","96","44.2","57","44","52.3","3240","1.47","13","0","57","43.1","1","0","0","900"
"Daniel Caligiuri","midfielder","Schalke 04","d1273f09","30","2018","79","7","20.5","1101","66.5","3","93","42.7","72","102","62.7","2756","0.94","9","0","30","50.6","0","1","0","900"
"Daniel Ginczek","forward","Wolfsburg","e5f63987","27","2018","78","6","40","203","56.7","2","9","26.3","23","24","58.3","1276","1.58","4","0","14","44.1","0","0","1","729"
"Daniel Wass","forward","Valencia","d83bbc54","29","2018","80","1","10.3","1033","76.1","3","35","47.6","49","17","58.8","2354","1.66","4","0","28","44.4","0","0","1","841"
"Daniele Baselli","midfielder","Torino","ea06dd97","26","2018","79","4","26.2","954","76.6","1","65","36.4","32","31","71","2379","1.65","5","0","48","42.4","0","1","0","676"
"Daniele Rugani","defender","Juventus","14b8fcdf","24","2018","82","2","22.2","696","89.8","0","8","40","51","1","0","1350","2.47","3","0","29","69.6","1","0","0","576"
"Danilo","defender","Manchester City","94b2001f","27","2018","79","1","21.4","762","86.6","0","20","70.6","22","13","61.5","807","2.45","1","0","10","56.3","1","0","0","729"
"Danilo Cataldi","midfielder","Lazio","ba3d3bea","23","2018","75","2","30.8","306","78.5","1","12","22.2","6","7","85.7","578","1.67","2","0","6","22.2","0","1","0","529"
"Danilo D'Ambrosio","defender","Inter","44eb9093","29","2018","75","2","31.3","1619","83.6","5","69","42.1","39","32","40.6","2579","1.7","6","0","48","37.3","1","0","0","841"
"Danny Ings","forward","Southampton","07802f7f","26","2018","76","7","35.8","281","68.7","3","30","39.3","9","37","54.1","1651","1.17","1","0","16","24.7","0","0","1","676"
"Danny Welbeck","forward","Arsenal","ce5143da","27","2018","78","1","50","40","74.1","1","3","0","2","6","33.3","153","2.5","0","0","3","33.3","0","0","1","729"
"Danny da Costa","midfielder","Eint Frankfurt","5ddb8f9f","25","2018","79","2","30","850","62.8","4","61","42.9","67","70","38.6","3033","1.59","1","0","33","51.5","0","1","0","625"
