Player,Pos,Squad,id,Age,Season,RATING,xG,Blocks,Tkl+Int,Err,Def Pen,Att.5,Succ%,Mn/Sub,xG+/-90,OG,Won%,def,mid,forw,Age^2
Antonio RГјdiger,defender,Chelsea,18b896d6,25,2018,82,2.5,7,66,1,191,5,80.0,0,0.46,0,53.3,1,0,0,625
Antonio Sanabria,forward,Betis,0a447501,22,2018,77,3.3,6,11,0,7,5,80.0,20,-0.18,0,47.7,0,0,1,484
AntonГ­n BarГЎk,midfielder,Udinese,01efac19,23,2018,77,0.2,2,11,0,3,4,75.0,11,-1.39,0,50.0,0,1,0,529
Arkadiusz Milik,forward,Napoli,85613cf0,24,2018,83,13.9,7,22,0,19,17,47.1,24,0.57,0,39.1,0,0,1,576
Armando Izzo,defender,Torino,89976232,26,2018,81,2.9,25,164,2,194,14,64.3,0,0.0,0,66.9,1,0,0,676
Arne Maier,midfielder,Hertha BSC,ab700320,19,2018,76,0.8,22,59,0,48,31,71.0,45,-0.45,0,48.8,0,1,0,361
Arthur Masuaku,defender,West Ham,57df7a11,24,2018,76,0.1,32,93,0,93,50,72.0,23,-0.29,0,51.2,1,0,0,576
Ashley Barnes,forward,Burnley,2691c772,28,2018,78,13.8,18,30,0,34,13,53.8,17,-0.16,1,34.8,0,0,1,784
Ashley Westwood,midfielder,Burnley,495945ef,28,2018,77,1.9,23,105,2,74,14,57.1,16,-0.31,0,51.4,0,1,0,784
Ashley Young,defender,Manchester Utd,be927d03,33,2018,77,0.5,53,107,0,100,34,50.0,41,0.26,0,64.5,1,0,0,1089
Aymen Barkok,midfielder,DГјsseldorf,a2a85828,20,2018,70,0.5,6,17,0,4,10,70.0,24,-0.96,0,60.0,0,1,0,400
Aymeric Laporte,defender,Manchester City,119b9a8e,24,2018,87,3.0,7,81,2,177,6,50.0,1,1.49,0,58.0,1,0,0,576
AГЇssa Mandi,defender,Betis,fbd6378b,26,2018,80,0.6,16,93,2,221,9,77.8,45,-0.15,0,58.2,1,0,0,676
Baptiste Santamaria,midfielder,Angers,5e22e2a4,23,2018,78,1.4,15,175,2,72,44,63.6,18,0.03,0,48.7,0,1,0,529
Bartosz BereszyЕ„ski,defender,Sampdoria,61b3978f,26,2018,73,0.3,38,77,0,82,37,62.2,17,-0.28,0,44.1,1,0,0,676
Ben Chilwell,defender,Leicester City,d2424d1b,21,2018,79,1.1,55,93,0,127,85,57.6,0,0.24,0,60.3,1,0,0,441
Ben Davies,defender,Tottenham,44781702,25,2018,79,0.5,34,79,1,78,16,25.0,7,0.28,0,55.0,1,0,0,625
Ben Mee,defender,Burnley,8df7a2fb,28,2018,78,1.6,16,103,4,313,9,88.9,0,-0.47,2,59.2,1,0,0,784
Benjamin AndrГ©,midfielder,Rennes,ef9c1c95,27,2018,78,3.0,26,155,0,61,32,65.6,35,0.16,0,59.0,0,1,0,729
Benjamin Bourigeaud,midfielder,Rennes,20e73fac,24,2018,77,6.5,32,87,1,36,32,31.3,27,-0.02,0,29.4,0,1,0,576
Benjamin Henrichs,forward,Monaco,0a89e877,21,2018,75,0.4,38,93,0,48,22,59.1,12,-0.34,0,41.9,0,0,1,441
Benjamin Pavard,defender,Stuttgart,45a03961,22,2018,79,0.9,11,76,2,236,12,58.3,0,-0.6,1,58.3,1,0,0,484
Berat Djimsiti,defender,Atalanta,6eee05f1,25,2018,73,1.0,4,66,0,168,5,100.0,15,0.75,1,56.0,1,0,0,625
Bernardo Silva,midfielder,Manchester City,3eb22ec9,23,2018,87,7.4,44,77,1,33,88,55.7,27,1.49,0,29.7,0,1,0,529
Bertrand TraorГ©,forward,Lyon,c47541e0,22,2018,78,6.0,25,51,0,20,90,57.8,16,0.77,0,41.1,0,0,1,484
Borja Mayoral,forward,Levante,64e8ed6d,21,2018,77,4.7,11,14,0,8,42,54.8,19,-0.72,0,31.8,0,0,1,441
Boubacar Kamara,defender,Marseille,cc77354e,18,2018,75,1.0,13,112,2,122,15,66.7,11,0.07,0,56.0,1,0,0,324
Bouna Sarr,forward,Marseille,1a4b9094,26,2018,75,1.4,40,106,1,67,102,53.9,30,0.17,0,57.4,0,0,1,676
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,21,2018,77,5.5,28,85,0,36,49,38.8,14,-0.53,0,33.3,0,1,0,441
Bram Nuytinck,defender,Udinese,e33f36d5,28,2018,73,0.2,8,79,0,168,4,50.0,14,-0.57,0,56.1,1,0,0,784
Breel Embolo,forward,Schalke 04,0b4f388a,21,2018,76,4.2,20,26,0,6,61,42.6,23,-0.23,0,37.7,0,0,1,441
Bryan Cristante,midfielder,Roma,16657b95,23,2018,78,3.8,18,92,0,61,45,68.9,27,0.2,0,60.2,0,1,0,529
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,17,2018,74,0.7,1,11,0,5,17,70.6,20,0.86,0,50.0,0,0,1,289
Callum Wilson,forward,Bournemouth,c596fcb0,26,2018,80,13.4,31,13,0,23,42,40.5,32,0.07,0,34.1,0,0,1,676
Calum Chambers,forward,Fulham,dc6f5bdd,23,2018,75,2.3,27,133,4,147,32,68.8,11,-0.43,0,54.2,0,0,1,529
Casemiro,midfielder,Real Madrid,4d224fe8,26,2018,87,2.6,15,127,3,99,21,81.0,39,0.67,0,61.9,0,1,0,676
Cengiz Гњnder,forward,Roma,1880614f,21,2018,78,2.4,25,19,0,6,43,48.8,17,0.31,0,29.4,0,0,1,441
Cenk Tosun,forward,Everton,9a104dee,27,2018,77,5.0,12,18,0,4,9,22.2,16,0.19,0,38.5,0,0,1,729
Cesc FГ bregas,midfielder,Monaco,33508c78,31,2018,81,1.5,6,23,1,18,4,75.0,18,0.02,0,28.0,0,1,0,961
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,29,2018,83,1.4,25,73,1,44,16,56.3,48,0.8,0,52.2,0,1,0,841
Charlie Taylor,defender,Burnley,cc2d7ad5,24,2018,76,0.2,62,95,0,199,76,53.9,30,-0.51,0,53.8,1,0,0,576
Cheikhou KouyatГ©,midfielder,Crystal Palace,8d3c902d,28,2018,76,1.1,14,75,0,49,23,52.2,15,-0.24,0,46.6,0,1,0,784
Chris Smalling,defender,Manchester Utd,b6964eb6,28,2018,80,1.2,5,56,1,154,1,100.0,0,0.15,1,64.3,1,0,0,784
Chris Wood,forward,Burnley,4e9a0555,26,2018,77,8.8,16,15,0,32,13,61.5,22,-0.3,0,43.4,0,0,1,676
Christian Benteke,forward,Crystal Palace,ab070c55,27,2018,75,3.4,4,5,0,19,8,62.5,14,-0.29,0,59.7,0,0,1,729
Christian Eriksen,midfielder,Tottenham,980522ec,26,2018,88,5.4,37,56,0,17,36,50.0,18,0.17,0,27.7,0,1,0,676
Christian GГјnter,forward,Freiburg,8593f88c,25,2018,75,1.2,66,52,0,70,78,50.0,0,-0.61,0,27.8,0,0,1,625
Christian Pulisic,forward,Dortmund,1bf33a9a,19,2018,79,4.8,25,16,0,11,81,51.9,14,0.78,0,34.1,0,0,1,361
Christoph Kramer,midfielder,M'Gladbach,496aeede,27,2018,80,1.0,5,62,0,33,16,56.3,12,-0.34,0,35.7,0,1,0,729
Christophe HГ©relle,defender,Nice,3681cfff,25,2018,78,2.2,18,133,2,238,14,57.1,0,-0.07,0,63.9,1,0,0,625
Christopher Nkunku,midfielder,Paris S-G,7c56da38,20,2018,77,2.6,6,30,1,14,39,59.0,12,1.75,0,42.3,0,1,0,400
Ciaran Clark,defender,Newcastle Utd,2b91cf8e,28,2018,75,0.5,4,32,0,56,0,0.0,29,-0.73,0,64.6,1,0,0,784
Ciro Immobile,forward,Lazio,4431aed2,28,2018,86,15.9,31,13,0,8,81,38.3,25,0.31,0,28.6,0,0,1,784
ClГ©ment Lenglet,defender,Barcelona,4f28a6ff,23,2018,85,0.9,10,68,0,150,6,100.0,25,0.84,1,57.9,1,0,0,529
Corentin Jean,forward,Toulouse,7d9b37bf,23,2018,72,1.5,8,11,0,1,13,38.5,15,-0.71,0,32.5,0,0,1,529
Corentin Tolisso,midfielder,Bayern Munich,652d4c37,23,2018,83,0.1,1,0,0,0,0,0.0,10,-0.33,0,100.0,0,1,0,529
Cristiano Biraghi,defender,Fiorentina,9e1577aa,25,2018,75,1.4,69,96,0,125,26,57.7,0,0.38,0,70.9,1,0,0,625
Damien Da Silva,defender,Rennes,1ec7e1c5,30,2018,78,2.1,10,80,0,186,10,80.0,4,0.27,0,64.4,1,0,0,900
DamiГЎn SuГЎrez,defender,Getafe,ba5004e1,30,2018,79,0.5,54,142,2,78,44,52.3,0,0.05,0,43.1,1,0,0,900
Daniel Caligiuri,midfielder,Schalke 04,d1273f09,30,2018,79,6.5,55,143,1,108,102,62.7,0,-0.07,0,50.6,0,1,0,900
Daniel Ginczek,forward,Wolfsburg,e5f63987,27,2018,78,3.8,18,12,1,19,24,58.3,23,0.28,0,44.1,0,0,1,729
Daniel Wass,forward,Valencia,d83bbc54,29,2018,80,1.4,30,69,0,79,17,58.8,26,0.52,1,44.4,0,0,1,841
Daniele Baselli,midfielder,Torino,ea06dd97,26,2018,79,2.4,29,99,0,40,31,71.0,22,0.05,0,42.4,0,1,0,676
Daniele Rugani,defender,Juventus,14b8fcdf,24,2018,82,1.6,1,24,1,96,1,0.0,0,0.73,0,69.6,1,0,0,576
Danilo,defender,Manchester City,94b2001f,27,2018,79,0.4,11,35,1,16,13,61.5,2,1.56,0,56.3,1,0,0,729
Danilo Cataldi,midfielder,Lazio,ba3d3bea,23,2018,75,0.6,7,19,0,11,7,85.7,29,0.02,0,22.2,0,1,0,529
Danilo D'Ambrosio,defender,Inter,44eb9093,29,2018,75,2.6,31,96,0,71,32,40.6,7,0.73,0,37.3,1,0,0,841
Danny Ings,forward,Southampton,07802f7f,26,2018,76,9.4,14,35,0,9,37,54.1,34,0.26,0,24.7,0,0,1,676
Danny Welbeck,forward,Arsenal,ce5143da,27,2018,78,0.8,2,4,0,2,6,33.3,12,-0.38,0,33.3,0,0,1,729
Danny da Costa,midfielder,Eint Frankfurt,5ddb8f9f,25,2018,79,3.6,62,93,0,98,70,38.6,0,0.19,0,51.5,0,1,0,625
Dante,defender,Nice,fd2bc67d,34,2018,79,1.8,9,92,2,301,5,80.0,0,-0.06,0,64.7,1,0,0,1156
Darko LazoviД‡,midfielder,Genoa,5128bde4,27,2018,74,2.2,30,48,0,43,75,48.0,34,-0.29,0,43.2,0,1,0,729
David Alaba,defender,Bayern Munich,05439de2,26,2018,85,3.2,52,65,0,46,39,74.4,27,1.6,0,52.2,1,0,0,676
David Silva,midfielder,Manchester City,e2716bd0,32,2018,88,7.8,29,52,0,18,47,66.0,17,1.56,0,45.2,0,1,0,1024
Davide Biraschi,defender,Genoa,64cd167d,24,2018,73,0.4,33,122,1,116,65,70.8,37,-0.23,1,54.5,1,0,0,576
Davide Calabria,defender,Milan,2146785a,21,2018,77,0.4,32,111,1,78,33,36.4,20,-0.05,0,40.0,1,0,0,441
Davide Zappacosta,defender,Chelsea,7fe90ccd,26,2018,79,0.1,3,3,0,8,3,66.7,12,0.87,0,60.0,1,0,0,676
Davie Selke,forward,Hertha BSC,1238a3f9,23,2018,78,5.2,22,6,0,8,49,44.9,25,-0.46,0,52.8,0,0,1,529
Davinson SГЎnchez,defender,Tottenham,da7b447d,22,2018,83,1.4,4,67,2,148,3,33.3,11,0.12,0,57.8,1,0,0,484
Dayot Upamecano,defender,RB Leipzig,d248cd8f,19,2018,77,0.9,8,55,0,66,8,100.0,32,0.71,0,66.7,1,0,0,361
Declan Rice,midfielder,West Ham,1c7012b8,19,2018,78,1.2,24,150,0,74,34,76.5,0,-0.42,0,56.8,0,1,0,361
Dele Alli,midfielder,Tottenham,cea4ee8f,22,2018,84,4.8,33,52,0,32,54,53.7,13,0.32,0,50.0,0,1,0,484
Demarai Gray,forward,Leicester City,4468ec10,22,2018,75,4.5,37,34,0,18,73,57.5,24,0.37,0,25.0,0,0,1,484
Denis Zakaria,midfielder,M'Gladbach,384d58d9,21,2018,81,3.8,18,66,0,39,53,54.7,22,-0.16,0,45.7,0,1,0,441
Dennis Geiger,midfielder,Hoffenheim,37f606f0,20,2018,70,0.1,2,5,0,4,4,25.0,40,0.64,0,16.7,0,1,0,400
Dennis Praet,midfielder,Sampdoria,86695068,24,2018,76,2.3,47,98,0,62,63,60.3,36,-0.03,0,54.1,0,1,0,576
Diego Demme,midfielder,RB Leipzig,dc3fa3b5,26,2018,78,0.4,33,101,0,24,16,50.0,3,0.75,0,51.9,0,1,0,676
Diego GodГ­n,defender,AtlГ©tico Madrid,fc4f85b1,32,2018,88,2.6,3,97,2,191,11,90.9,16,0.14,1,61.9,1,0,0,1024
Diego Llorente,defender,Real Sociedad,bba30585,24,2018,77,0.5,9,52,2,135,4,50.0,45,0.17,1,58.2,1,0,0,576
Dimitri LiГ©nard,forward,Strasbourg,f7691f63,30,2018,73,1.0,17,51,0,23,25,64.0,14,0.03,0,25.0,0,0,1,900
Dimitri Payet,midfielder,Marseille,58ae47b2,31,2018,81,5.6,25,19,0,6,30,60.0,12,0.28,0,28.6,0,1,0,961
Divock Origi,forward,Liverpool,43a166b4,23,2018,78,2.2,7,6,0,0,10,60.0,10,1.18,0,25.0,0,0,1,529
Domenico Berardi,forward,Sassuolo,53a0e358,23,2018,78,8.9,56,65,0,28,94,48.9,36,-0.09,0,40.4,0,0,1,529
Dominic Calvert-Lewin,forward,Everton,59e6e5bf,21,2018,77,5.5,14,20,0,24,39,53.8,11,0.29,0,43.0,0,0,1,441
Dominik Kohr,midfielder,Leverkusen,0fbecd11,24,2018,76,1.4,13,57,1,32,9,44.4,14,-0.56,0,41.4,0,1,0,576
Dominique Heintz,defender,Freiburg,699fb8db,24,2018,76,0.8,18,86,0,251,26,80.8,0,-0.63,0,54.5,1,0,0,576
Douglas Luiz,midfielder,Girona,6f7d826d,20,2018,74,1.6,7,55,0,42,25,92.0,20,-0.21,0,56.5,0,1,0,400
Dries Mertens,forward,Napoli,89b2c8a9,31,2018,87,10.7,24,32,0,3,38,47.4,31,0.73,0,27.3,0,0,1,961
DuvГЎn Zapata,forward,Atalanta,d3de9af0,27,2018,82,18.9,31,13,0,29,83,48.2,34,0.85,0,41.1,0,0,1,729
Eden Hazard,forward,Chelsea,a39bb753,27,2018,91,10.5,47,27,1,4,204,67.2,25,0.59,0,38.0,0,0,1,729
Edimilson Fernandes,midfielder,Fiorentina,3bb625ac,22,2018,72,1.2,14,62,0,49,39,51.3,34,0.37,0,37.5,0,1,0,484
Edin DЕѕeko,forward,Roma,3bb7f478,32,2018,84,14.5,27,13,1,37,69,49.3,19,0.25,0,59.9,0,0,1,1024
Edinson Cavani,forward,Paris S-G,527f063d,31,2018,88,14.5,8,17,0,20,21,57.1,18,1.34,0,25.0,0,0,1,961
Edoardo Goldaniga,defender,Frosinone,4b029b31,24,2018,73,2.0,15,100,0,141,10,70.0,0,-0.76,0,63.1,1,0,0,576
Ellyes Skhiri,midfielder,Montpellier,c2211709,23,2018,78,1.2,25,165,0,73,43,74.4,9,0.27,0,57.1,0,1,0,529
Elseid Hysaj,defender,Napoli,2f3452eb,24,2018,80,0.6,34,64,0,62,33,54.5,7,0.85,0,53.8,1,0,0,576
Emil Forsberg,midfielder,RB Leipzig,9a2e0ccc,26,2018,82,4.8,13,15,0,8,41,53.7,20,1.11,0,44.4,0,1,0,676
Emil Krafth,defender,Amiens,77cf6852,23,2018,74,0.7,47,78,4,123,22,36.4,11,-0.37,0,56.8,1,0,0,529
Emre Can,midfielder,Juventus,a65ce836,24,2018,81,2.7,10,92,2,38,35,74.3,18,0.53,1,63.9,0,1,0,576
Enes Гњnal,forward,Valladolid,f8eca1b6,21,2018,77,7.9,13,19,0,27,38,47.4,20,-0.31,0,40.4,0,0,1,441
Enis Bardhi,midfielder,Levante,cac2537b,23,2018,78,3.6,40,101,1,57,72,59.7,32,-0.44,0,27.0,0,1,0,529
Eric Bailly,defender,Manchester Utd,a1232f4e,24,2018,80,0.2,1,28,1,56,5,80.0,5,-0.05,0,76.5,1,0,0,576
Eric Dier,forward,Tottenham,ac861941,24,2018,79,1.0,19,47,1,63,7,28.6,6,0.06,0,53.0,0,0,1,576
Erick Cabaco,defender,Levante,e7ab4179,23,2018,75,1.5,4,51,0,108,3,33.3,11,-0.72,0,52.8,1,0,0,529
Erik Thommy,midfielder,Stuttgart,df8e7b62,23,2018,72,1.2,20,19,0,8,21,38.1,28,-0.83,0,35.0,0,1,0,529
Ermin BiДЌakДЌiД‡,defender,Hoffenheim,7aac47fe,28,2018,77,1.5,5,88,1,119,0,0.0,23,0.62,1,63.1,1,0,0,784
Fabian SchГ¤r,defender,Newcastle Utd,c8aa95da,26,2018,79,1.9,18,127,2,161,22,63.6,45,-0.17,0,49.6,1,0,0,676
Fabinho,midfielder,Liverpool,7f3b388c,24,2018,85,1.0,17,87,2,49,16,62.5,18,1.27,0,57.4,0,1,0,576
Fabio Quagliarella,forward,Sampdoria,ee4f2f3b,35,2018,83,21.9,37,22,0,21,36,52.8,0,-0.14,0,29.5,0,0,1,1225
Federico Bernardeschi,midfielder,Juventus,ee93c1a9,24,2018,83,3.8,20,20,0,15,40,52.5,26,0.96,0,42.1,0,1,0,576
Federico Ceccherini,defender,Fiorentina,d9624b51,26,2018,71,0.1,1,34,0,47,8,75.0,17,-0.16,0,58.8,1,0,0,676
Federico Chiesa,forward,Fiorentina,b0f7e36c,20,2018,79,8.8,45,56,0,6,180,43.9,35,0.28,0,23.0,0,0,1,400
Federico Fazio,defender,Roma,4e358a2d,31,2018,80,2.5,9,81,2,246,17,82.4,14,0.28,0,70.4,1,0,0,961
Federico FernГЎndez,defender,Newcastle Utd,f25b010f,29,2018,76,0.2,5,41,1,122,0,0.0,21,-0.59,0,55.2,1,0,0,841
Federico Valverde,midfielder,Real Madrid,0959c2a2,20,2018,81,0.3,7,33,0,9,17,76.5,18,1.05,0,60.0,0,1,0,400
Ferland Mendy,defender,Lyon,3cefcaef,23,2018,80,0.9,43,78,2,76,72,76.4,40,0.64,0,56.1,1,0,0,529
Filip KostiД‡,midfielder,Eint Frankfurt,b1cd37e6,25,2018,82,4.5,69,87,0,53,93,62.4,21,0.22,0,48.9,0,1,0,625
Flavien Tait,midfielder,Angers,a0f9b535,25,2018,78,7.0,41,86,0,20,148,55.4,61,0.12,0,40.0,0,1,0,625
Florent Mollet,midfielder,Montpellier,7e82a78f,26,2018,78,3.9,35,59,0,9,51,39.2,21,0.18,0,31.3,0,1,0,676
Florian Kainz,forward,Werder Bremen,94c18565,25,2018,75,0.4,8,9,0,5,12,41.7,13,-0.56,0,63.6,0,0,1,625
Florian Lejeune,defender,Newcastle Utd,6eaed4eb,27,2018,78,0.4,8,46,0,79,4,75.0,0,-0.05,0,64.6,1,0,0,729
Florian Niederlechner,forward,Freiburg,d6862409,27,2018,77,4.6,10,13,0,12,22,40.9,17,-0.8,0,32.6,0,0,1,729
Francesco Acerbi,defender,Lazio,b96b595c,30,2018,83,3.4,11,101,1,257,11,81.8,0,0.37,0,69.1,1,0,0,900
Francis Coquelin,midfielder,Valencia,a6951bf8,27,2018,80,0.4,11,95,1,48,33,81.8,29,0.46,0,64.8,0,1,0,729
Gabriel Jesus,forward,Manchester City,b66315ae,21,2018,82,11.2,12,13,0,4,38,57.9,17,1.71,0,27.8,0,0,1,441
Gabriel Silva,defender,Saint-Г‰tienne,4914ed4a,27,2018,73,0.2,12,33,1,60,13,69.2,29,0.08,0,50.8,1,0,0,729
Gareth Bale,forward,Real Madrid,a58bb1e1,29,2018,85,9.1,25,27,0,14,44,54.5,25,0.58,0,51.4,0,0,1,841
GaГ«l Kakuta,midfielder,Rayo Vallecano,5b1bf5e3,27,2018,73,1.1,9,21,0,4,30,53.3,22,-0.46,0,26.3,0,1,0,729
GaГ«tan Laborde,forward,Montpellier,7cdda3bf,24,2018,78,9.8,49,42,0,24,97,43.3,25,0.29,0,47.3,0,0,1,576
Geoffrey Kondogbia,midfielder,Valencia,cce181df,25,2018,81,2.2,7,74,2,49,24,91.7,23,0.27,0,46.2,0,1,0,625
Georginio Wijnaldum,midfielder,Liverpool,eb58eef0,27,2018,84,3.0,15,62,0,38,49,59.2,28,1.14,0,48.5,0,1,0,729
GermГЎn Pezzella,defender,Fiorentina,8c725b43,27,2018,79,3.0,8,116,1,195,6,66.7,0,0.23,1,69.0,1,0,0,729
Giacomo Bonaventura,midfielder,Milan,d995ed27,28,2018,82,2.9,3,13,0,14,13,76.9,0,0.62,0,56.3,0,1,0,784
Gian Marco Ferrari,defender,Sassuolo,8650af85,26,2018,74,2.2,14,77,1,189,5,80.0,0,-0.21,0,67.8,1,0,0,676
Gianluca Caprari,forward,Sampdoria,54e53b7e,25,2018,74,2.2,13,19,0,1,32,56.3,24,-0.57,0,8.3,0,0,1,625
Gianluca Mancini,defender,Atalanta,5aa53281,22,2018,76,5.3,13,88,1,97,12,91.7,37,0.89,0,62.3,1,0,0,484
Giorgio Chiellini,defender,Juventus,e85fb9b8,33,2018,89,1.5,12,54,1,163,5,80.0,19,0.8,0,69.4,1,0,0,1089
Giovani Lo Celso,midfielder,Betis,d7553721,22,2018,83,8.2,49,69,0,14,103,61.2,21,0.04,0,41.0,0,1,0,484
Giovanni Simeone,forward,Fiorentina,343c0d52,23,2018,77,11.2,21,47,0,17,55,47.3,32,0.44,0,27.1,0,0,1,529
Giuseppe Pezzella,forward,Genoa,149c5f5d,20,2018,71,0.0,1,3,0,4,0,0.0,6,-1.05,0,0.0,0,0,1,400
Gonzalo Escalante,midfielder,Eibar,3f79a1c8,25,2018,77,2.9,21,70,0,27,30,76.7,22,0.28,0,41.7,0,1,0,625
Granit Xhaka,forward,Arsenal,e61b8aee,25,2018,81,2.0,32,88,3,99,14,50.0,0,0.23,0,54.9,0,0,1,625
Guillermo MaripГЎn,defender,AlavГ©s,d9764034,24,2018,78,2.5,8,86,2,168,4,50.0,30,-0.28,0,72.0,1,0,0,576
Hakan Г‡alhanoДџlu,midfielder,Milan,cd0fa27b,24,2018,80,5.2,36,80,0,32,48,66.7,19,0.18,0,43.8,0,1,0,576
Hamari TraorГ©,defender,Rennes,a4b1028a,26,2018,75,2.0,47,105,0,108,52,50.0,36,0.29,0,37.6,1,0,0,676
Hamza Choudhury,midfielder,Leicester City,7d2d3329,20,2018,74,0.5,5,39,0,28,6,33.3,9,-0.5,0,45.5,0,1,0,400
Hans Hateboer,defender,Atalanta,3b333ac3,24,2018,78,5.2,52,66,1,61,40,35.0,22,0.84,0,56.0,1,0,0,576
Harry Kane,forward,Tottenham,21a66f6a,25,2018,89,14.4,14,11,0,18,82,48.8,16,0.19,0,41.2,0,0,1,625
Harry Maguire,defender,Leicester City,d8931174,25,2018,82,2.4,7,67,4,219,20,85.0,0,0.16,0,78.1,1,0,0,625
Harry Winks,midfielder,Tottenham,2f7acede,22,2018,80,1.0,15,43,0,41,23,73.9,13,0.25,0,46.2,0,1,0,484
Harvey Barnes,midfielder,Leicester City,3ea50f67,20,2018,75,3.9,15,13,0,6,49,61.2,27,0.87,0,46.7,0,1,0,400
Henrikh Mkhitaryan,forward,Arsenal,dd0daf32,29,2018,81,5.0,32,44,0,23,52,38.5,22,0.42,0,45.7,0,0,1,841
Houssem Aouar,midfielder,Lyon,a5db0bec,20,2018,81,6.8,43,95,3,35,97,59.8,12,0.7,0,34.0,0,1,0,400
Iago Aspas,forward,Celta Vigo,7dcf86f6,30,2018,85,11.9,24,32,0,7,36,55.6,24,-0.07,0,35.8,0,0,1,900
Ibrahima KonatГ©,defender,RB Leipzig,5ed9b537,19,2018,79,1.7,15,102,0,113,26,84.6,0,0.65,0,72.9,1,0,0,361
Ignatius Ganago,forward,Nice,23c63b7f,19,2018,71,2.9,6,4,0,7,25,68.0,30,-0.03,0,52.3,0,0,1,361
Ihlas Bebou,midfielder,Hannover 96,a53b661f,24,2018,77,4.6,20,24,0,11,57,61.4,0,-0.44,0,42.6,0,1,0,576
Isaac Hayden,midfielder,Newcastle Utd,c951a6df,23,2018,76,0.9,14,113,0,46,16,75.0,14,-0.34,0,56.5,0,1,0,529
Isco,midfielder,Real Madrid,a0b4bb3e,26,2018,86,5.1,20,35,0,5,49,69.4,23,0.82,0,33.3,0,1,0,676
IsmaГ«l TraorГ©,defender,Angers,b666421b,31,2018,75,3.6,13,69,2,138,9,66.7,83,-0.01,0,43.7,1,0,0,961
Issa Diop,defender,West Ham,a712ca2b,21,2018,78,1.2,12,132,4,210,9,66.7,0,-0.27,1,60.5,1,0,0,441
Ivan PeriЕЎiД‡,forward,Inter,6fe90922,29,2018,84,9.8,60,57,0,62,55,41.8,30,0.65,1,47.6,0,0,1,841
Ivan RadovanoviД‡,midfielder,Chievo,023937a9,29,2018,76,0.7,3,53,0,49,7,100.0,0,-0.7,0,52.4,0,1,0,841
Ivan RakitiД‡,midfielder,Barcelona,89f951b5,30,2018,86,2.6,20,81,0,66,30,63.3,20,0.81,0,64.9,0,1,0,900
Jack Cork,midfielder,Burnley,74e12f1e,29,2018,76,1.4,20,80,2,96,38,73.7,0,-0.43,0,39.5,0,1,0,841
Jack Stephens,defender,Southampton,6adbc307,24,2018,74,1.0,5,62,2,118,7,71.4,15,-0.35,0,56.7,1,0,0,576
Jadon Sancho,forward,Dortmund,dbf053da,18,2018,84,7.0,29,33,1,9,186,60.8,23,0.68,0,5.0,0,0,1,324
Jakub Jankto,midfielder,Sampdoria,1ea5f91c,22,2018,75,1.7,13,16,0,18,5,20.0,21,-0.5,0,30.8,0,1,0,484
Jamaal Lascelles,defender,Newcastle Utd,450ab6fc,24,2018,78,0.6,15,71,3,272,1,100.0,0,-0.37,0,67.2,1,0,0,576
James McArthur,midfielder,Crystal Palace,cee31595,30,2018,76,4.1,28,123,0,78,31,64.5,32,-0.08,0,45.6,0,1,0,900
James Milner,forward,Liverpool,2f90f6b8,32,2018,81,3.4,46,61,0,33,20,75.0,20,1.16,0,40.4,0,0,1,1024
James Tarkowski,defender,Burnley,15ea812b,25,2018,79,3.3,6,113,2,306,9,77.8,0,-0.41,0,68.3,1,0,0,625
James Tomkins,defender,Crystal Palace,e7ca0439,29,2018,78,1.4,4,68,3,204,4,50.0,0,-0.03,0,50.8,1,0,0,841
James Ward-Prowse,forward,Southampton,3515d404,23,2018,79,3.4,13,63,0,67,11,45.5,15,-0.28,1,30.9,0,0,1,529
Jamie Vardy,forward,Leicester City,45963054,31,2018,85,18.3,22,20,0,31,32,37.5,34,0.32,0,39.0,0,0,1,961
Jan Bednarek,defender,Southampton,4115ce4e,22,2018,77,0.8,6,112,0,179,3,33.3,35,-0.22,0,56.8,1,0,0,484
Janik Haberer,midfielder,Freiburg,70dcf94d,24,2018,75,1.3,35,107,0,53,38,63.2,52,-0.61,0,48.6,0,1,0,576
Jannik Vestergaard,defender,Southampton,1900032e,25,2018,78,0.7,9,88,1,183,13,76.9,0,-0.24,0,62.5,1,0,0,625
Jason,midfielder,Levante,9038c2a1,24,2018,75,3.2,41,90,0,51,78,37.2,21,-0.59,0,50.8,0,1,0,576
Jean-Eudes Aholou,midfielder,Monaco,48b28bfd,24,2018,74,0.8,8,37,0,10,17,58.8,31,0.14,0,46.8,0,1,0,576
Jean-KГ©vin Augustin,forward,RB Leipzig,97bfa797,21,2018,76,2.8,3,5,0,0,21,42.9,11,0.8,0,6.3,0,0,1,441
Jean-Philippe Gbamin,midfielder,Mainz 05,6bd603db,22,2018,79,1.4,41,81,1,56,66,53.0,35,-0.31,0,57.3,0,1,0,484
Jean-Victor Makengo,midfielder,Nice,22bfb57e,20,2018,70,1.4,11,19,0,6,33,78.8,19,-0.05,0,17.2,0,1,0,400
Jeff Hendrick,midfielder,Burnley,989d5705,26,2018,75,1.8,30,36,0,40,28,42.9,11,-0.61,0,37.0,0,1,0,676
