"Player","Pos","Squad","id","Age","Season","RATING","xG","xA","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Att.5","Succ%","TotDist.1","Mn/Sub","onxG","xG+/-90","OG","Recov","Won%","def","mid","forw","Age^2"
"Gonzalo Escalante","midfielder","Eibar","3f79a1c8","25","2018","77","2.9","1","21","70","0","27","35","30","76.7","1995","22","30.6","0.28","0","106","41.7","0","1","0","625"
"Granit Xhaka","forward","Arsenal","e61b8aee","25","2018","81","2","3.5","32","88","3","99","9","14","50","6427","0","45.9","0.23","0","207","54.9","0","0","1","625"
"Guillermo MaripГЎn","defender","AlavГ©s","d9764034","24","2018","78","2.5","0.4","8","86","2","168","28","4","50","1940","30","25.3","-0.28","0","89","72","1","0","0","576"
"Hakan Г‡alhanoДџlu","midfielder","Milan","cd0fa27b","24","2018","80","5.2","5.5","36","80","0","32","82","48","66.7","8769","19","40.8","0.18","0","172","43.8","0","1","0","576"
"Hamari TraorГ©","defender","Rennes","a4b1028a","26","2018","75","2","2.8","47","105","0","108","41","52","50","6402","36","49.1","0.29","0","204","37.6","1","0","0","676"
"Hamza Choudhury","midfielder","Leicester City","7d2d3329","20","2018","74","0.5","0.2","5","39","0","28","2","6","33.3","679","9","6","-0.5","0","33","45.5","0","1","0","400"
"Hans Hateboer","defender","Atalanta","3b333ac3","24","2018","78","5.2","3.9","52","66","1","61","95","40","35","6429","22","63.1","0.84","0","130","56","1","0","0","576"
"Harry Kane","forward","Tottenham","21a66f6a","25","2018","89","14.4","1.8","14","11","0","18","142","82","48.8","3718","16","38.7","0.19","0","58","41.2","0","0","1","625"
"Harry Maguire","defender","Leicester City","d8931174","25","2018","82","2.4","1","7","67","4","219","63","20","85","8611","0","38.3","0.16","0","195","78.1","1","0","0","625"
"Harry Winks","midfielder","Tottenham","2f7acede","22","2018","80","1","0.5","15","43","0","41","8","23","73.9","6442","13","25.1","0.25","0","137","46.2","0","1","0","484"
"Harvey Barnes","midfielder","Leicester City","3ea50f67","20","2018","75","3.9","1","15","13","0","6","78","49","61.2","2592","27","21","0.87","0","41","46.7","0","1","0","400"
"Henrikh Mkhitaryan","forward","Arsenal","dd0daf32","29","2018","81","5","4.3","32","44","0","23","77","52","38.5","3791","22","32.3","0.42","0","124","45.7","0","0","1","841"
"Houssem Aouar","midfielder","Lyon","a5db0bec","20","2018","81","6.8","3.4","43","95","3","35","106","97","59.8","9785","12","65.3","0.7","0","218","34","0","1","0","400"
"Iago Aspas","forward","Celta Vigo","7dcf86f6","30","2018","85","11.9","3.9","24","32","0","7","114","36","55.6","4366","24","34.7","-0.07","0","97","35.8","0","0","1","900"
"Ibrahima KonatГ©","defender","RB Leipzig","5ed9b537","19","2018","79","1.7","0.4","15","102","0","113","22","26","84.6","4084","0","51.3","0.65","0","140","72.9","1","0","0","361"
"Ignatius Ganago","forward","Nice","23c63b7f","19","2018","71","2.9","0.7","6","4","0","7","61","25","68","945","30","16.5","-0.03","0","25","52.3","0","0","1","361"
"Ihlas Bebou","midfielder","Hannover 96","a53b661f","24","2018","77","4.6","2.3","20","24","0","11","34","57","61.4","2346","0","15.6","-0.44","0","64","42.6","0","1","0","576"
"Isaac Hayden","midfielder","Newcastle Utd","c951a6df","23","2018","76","0.9","1.7","14","113","0","46","25","16","75","1233","14","21.1","-0.34","0","118","56.5","0","1","0","529"
"Isco","midfielder","Real Madrid","a0b4bb3e","26","2018","86","5.1","2","20","35","0","5","54","49","69.4","4551","23","27.7","0.82","0","68","33.3","0","1","0","676"
"IsmaГ«l TraorГ©","defender","Angers","b666421b","31","2018","75","3.6","0.5","13","69","2","138","20","9","66.7","3372","83","37.8","-0.01","0","146","43.7","1","0","0","961"
"Issa Diop","defender","West Ham","a712ca2b","21","2018","78","1.2","0.1","12","132","4","210","17","9","66.7","3927","0","42.6","-0.27","1","172","60.5","1","0","0","441"
"Ivan PeriЕЎiД‡","forward","Inter","6fe90922","29","2018","84","9.8","7.1","60","57","0","62","201","55","41.8","6449","30","51.2","0.65","1","102","47.6","0","0","1","841"
"Ivan RadovanoviД‡","midfielder","Chievo","023937a9","29","2018","76","0.7","0.4","3","53","0","49","2","7","100","2891","0","18.9","-0.7","0","137","52.4","0","1","0","841"
"Ivan RakitiД‡","midfielder","Barcelona","89f951b5","30","2018","86","2.6","3.3","20","81","0","66","28","30","63.3","8558","20","59.9","0.81","0","215","64.9","0","1","0","900"
"Jack Cork","midfielder","Burnley","74e12f1e","29","2018","76","1.4","1.6","20","80","2","96","35","38","73.7","3551","0","43.2","-0.43","0","219","39.5","0","1","0","841"
"Jack Stephens","defender","Southampton","6adbc307","24","2018","74","1","0.3","5","62","2","118","16","7","71.4","2610","15","21.7","-0.35","0","118","56.7","1","0","0","576"
"Jadon Sancho","forward","Dortmund","dbf053da","18","2018","84","7","9.5","29","33","1","9","120","186","60.8","8960","23","51.4","0.68","0","133","5","0","0","1","324"
"Jakub Jankto","midfielder","Sampdoria","1ea5f91c","22","2018","75","1.7","1.3","13","16","0","18","23","5","20","1964","21","15.3","-0.5","0","70","30.8","0","1","0","484"
"Jamaal Lascelles","defender","Newcastle Utd","450ab6fc","24","2018","78","0.6","0.5","15","71","3","272","32","1","100","2567","0","30.7","-0.37","0","180","67.2","1","0","0","576"
"James McArthur","midfielder","Crystal Palace","cee31595","30","2018","76","4.1","3.1","28","123","0","78","85","31","64.5","4869","32","41","-0.08","0","216","45.6","0","1","0","900"
"James Milner","forward","Liverpool","2f90f6b8","32","2018","81","3.4","6","46","61","0","33","47","20","75","4421","20","38.1","1.16","0","143","40.4","0","0","1","1024"
"James Tarkowski","defender","Burnley","15ea812b","25","2018","79","3.3","0.4","6","113","2","306","46","9","77.8","3029","0","41.3","-0.41","0","134","68.3","1","0","0","625"
"James Tomkins","defender","Crystal Palace","e7ca0439","29","2018","78","1.4","1","4","68","3","204","51","4","50","2688","0","33.2","-0.03","0","112","50.8","1","0","0","841"
"James Ward-Prowse","forward","Southampton","3515d404","23","2018","79","3.4","3.5","13","63","0","67","34","11","45.5","2066","15","27.2","-0.28","1","112","30.9","0","0","1","529"
"Jamie Vardy","forward","Leicester City","45963054","31","2018","85","18.3","2.1","22","20","0","31","145","32","37.5","2057","34","44.5","0.32","0","47","39","0","0","1","961"
"Jan Bednarek","defender","Southampton","4115ce4e","22","2018","77","0.8","0.5","6","112","0","179","12","3","33.3","2057","35","28.8","-0.22","0","129","56.8","1","0","0","484"
"Janik Haberer","midfielder","Freiburg","70dcf94d","24","2018","75","1.3","1.8","35","107","0","53","38","38","63.2","3370","52","30.9","-0.61","0","197","48.6","0","1","0","576"
"Jannik Vestergaard","defender","Southampton","1900032e","25","2018","78","0.7","0.7","9","88","1","183","17","13","76.9","2692","0","26.1","-0.24","0","123","62.5","1","0","0","625"
"Jason","midfielder","Levante","9038c2a1","24","2018","75","3.2","2.5","41","90","0","51","34","78","37.2","4087","21","32.5","-0.59","0","139","50.8","0","1","0","576"
"Jean-Eudes Aholou","midfielder","Monaco","48b28bfd","24","2018","74","0.8","0.5","8","37","0","10","17","17","58.8","2337","31","15.6","0.14","0","79","46.8","0","1","0","576"
"Jean-KГ©vin Augustin","forward","RB Leipzig","97bfa797","21","2018","76","2.8","0.6","3","5","0","0","33","21","42.9","824","11","9.9","0.8","0","16","6.3","0","0","1","441"
"Jean-Philippe Gbamin","midfielder","Mainz 05","6bd603db","22","2018","79","1.4","2.6","41","81","1","56","25","66","53","6608","35","43","-0.31","0","226","57.3","0","1","0","484"
"Jean-Victor Makengo","midfielder","Nice","22bfb57e","20","2018","70","1.4","0.6","11","19","0","6","20","33","78.8","2261","19","12.9","-0.05","0","51","17.2","0","1","0","400"
"Jeff Hendrick","midfielder","Burnley","989d5705","26","2018","75","1.8","1.4","30","36","0","40","43","28","42.9","2013","11","23.5","-0.61","0","121","37","0","1","0","676"
"Jeffrey Gouweleeuw","defender","Augsburg","1025db8e","27","2018","78","0.7","1.7","17","98","1","146","9","19","52.6","4960","3","32.6","-0.42","0","171","54.2","1","0","0","729"
"Jeffrey Schlupp","midfielder","Crystal Palace","3312f911","25","2018","74","3.2","1","24","60","1","34","57","40","55","2637","15","24.1","-0.21","0","90","47.3","0","1","0","625"
"Jeison Murillo","defender","Barcelona","b233e8e4","26","2018","79","0","0","1","2","1","8","1","0","0","536","22","1.1","-0.1","0","6","44.4","1","0","0","676"
"Jens Stryger Larsen","defender","Udinese","f91e81c9","27","2018","74","1.8","2.3","39","68","1","114","25","26","42.3","6175","0","40.7","-0.39","0","167","48.3","1","0","0","729"
"Jesse Lingard","forward","Manchester Utd","810e3c74","25","2018","82","4.7","2.5","10","39","1","11","49","29","44.8","2997","17","33.3","0.56","0","66","15.6","0","0","1","625"
"JesГєs Navas","midfielder","Sevilla","3f10bd22","32","2018","82","1.5","8.1","68","57","0","83","82","45","77.8","8306","29","50.9","0.46","0","172","26.3","0","1","0","1024"
"Joachim Andersen","defender","Sampdoria","e34fc66d","22","2018","78","1","0.5","10","75","1","277","17","16","93.8","8170","0","41.3","-0.16","0","159","55.2","1","0","0","484"
"JoaquГ­n","forward","Betis","4c5b14d2","37","2018","80","3.2","4.1","20","24","1","32","60","65","73.8","4703","25","25.5","0.07","0","64","45.2","0","0","1","1369"
"JoaquГ­n Correa","forward","Lazio","45b9b619","23","2018","80","8","3.6","19","23","0","14","129","123","56.9","5955","32","37.4","0.55","0","80","36.5","0","0","1","529"
"Joe Gomez","defender","Liverpool","7a11550b","21","2018","80","0.3","0.3","9","32","0","55","8","5","80","2662","12","20.8","0.95","0","71","55.8","1","0","0","441"
"Joel Ward","defender","Crystal Palace","8a7ff278","28","2018","73","0.6","0.1","5","22","0","33","5","2","50","569","11","10.5","0.29","0","31","56.3","1","0","0","784"
"John Brooks","defender","Wolfsburg","e27da244","25","2018","79","2.6","0.7","10","66","3","187","33","5","80","8119","0","40.4","-0.02","0","133","73.3","1","0","0","625"
"John Guidetti","forward","AlavГ©s","99bebd12","26","2018","76","1.4","0.6","5","5","0","7","24","4","25","376","13","6","-0.36","0","16","42.1","0","0","1","676"
"John Stones","defender","Manchester City","5eecec3d","24","2018","83","0.3","0.8","5","30","1","123","12","8","75","8755","7","41.5","1.36","0","114","66.3","1","0","0","576"
"Jonas Hofmann","midfielder","M'Gladbach","2903a856","26","2018","78","5.5","3","20","53","1","28","56","27","40.7","5061","28","34.2","0.21","0","138","17.9","0","1","0","676"
"Jonas Martin","midfielder","Strasbourg","468fdbad","28","2018","77","3.9","2.3","22","76","0","69","28","27","70.4","5205","0","24.6","-0.09","0","158","47.2","0","1","0","784"
"Jonathan Bamba","forward","Lille","b2bd0f6c","22","2018","78","8.4","3.8","39","70","0","9","92","76","44.7","7785","20","53","0.45","0","194","42.9","0","0","1","484"
"Jonathan Schmid","defender","Augsburg","088ca1bd","28","2018","75","0.8","3.5","31","87","2","83","16","31","51.6","3609","0","36","-0.56","1","154","51.9","1","0","0","784"
"Jonathan Tah","defender","Leverkusen","bd142efb","22","2018","83","1.1","0.9","12","89","1","196","28","20","85","8543","0","56.7","0.43","0","267","69.2","1","0","0","484"
"Jonjo Shelvey","midfielder","Newcastle Utd","3727dd3c","26","2018","77","0.9","1.5","12","29","0","17","8","12","83.3","1694","17","11.4","-0.31","0","84","58.3","0","1","0","676"
"Jonjoe Kenny","defender","Everton","099e666f","21","2018","73","0.1","0.7","21","38","1","37","4","10","50","1231","37","9.4","-0.14","0","52","67.6","1","0","0","441"
"Jonny Evans","defender","Leicester City","f8fcd2a5","30","2018","79","0.9","0.2","6","57","3","182","26","0","0","3036","37","30.5","0.31","0","113","66.1","1","0","0","900"
"Jordan Amavi","defender","Marseille","22721b88","24","2018","74","0.8","1.5","38","120","4","79","20","43","53.5","4782","20","33.1","0.09","0","110","69.6","1","0","0","576"
"Jordan Ayew","forward","Crystal Palace","da052c14","26","2018","75","2.9","0.5","13","45","0","7","56","26","42.3","1734","10","14","-0.11","0","41","26.4","0","0","1","676"
"Jordan Ferri","midfielder","NГ®mes","375622c5","26","2018","74","0.7","1.4","24","67","1","15","17","50","54","4914","28","30.5","0.05","0","194","40.4","0","1","0","676"
"Jordan Henderson","midfielder","Liverpool","935e6b8f","28","2018","83","1.5","2.2","24","76","0","35","32","14","50","5566","20","38.6","0.98","0","168","54.5","0","1","0","784"
"Jordan Torunarigha","defender","Hertha BSC","f86cabbd","20","2018","72","1.1","0.5","6","63","0","61","11","5","20","1437","45","17.3","-0.04","0","60","70.4","1","0","0","400"
"Jordan Veretout","midfielder","Fiorentina","4a56052c","25","2018","78","5.9","4.6","34","110","2","67","23","32","65.6","7659","0","46.3","0.34","0","265","37.9","0","1","0","625"
"Jorginho","midfielder","Chelsea","45db685d","26","2018","83","1.4","5.2","31","140","1","106","4","27","55.6","7795","0","52.8","0.52","0","274","36.4","0","1","0","676"
"Joselu","forward","Newcastle Utd","6265208f","28","2018","74","1.6","0.2","4","17","0","15","26","5","20","341","15","5.2","-1.13","0","22","51.8","0","0","1","784"
"Joshua Kimmich","forward","Bayern Munich","49296448","23","2018","86","2.2","14.3","43","80","3","88","53","62","61.3","11570","0","85.6","1.72","0","217","52.2","0","0","1","529"
"Joshua King","forward","Bournemouth","43458538","26","2018","79","13.5","2.9","28","37","0","26","160","126","51.6","7079","16","44.1","-0.08","0","148","43.1","0","0","1","676"
"Josip Brekalo","forward","Wolfsburg","d4a2533d","20","2018","76","2.3","1.7","24","27","1","8","33","59","50.8","3965","22","18.4","-0.32","0","71","28.6","0","0","1","400"
"Josuha Guilavogui","midfielder","Wolfsburg","e6c43eec","27","2018","80","1","0.8","9","74","2","71","12","10","80","1807","0","22.2","-0.12","0","158","59.2","0","1","0","729"
"JosГ© CallejГіn","midfielder","Napoli","78841da9","31","2018","84","5.7","7.4","32","56","0","28","116","29","51.7","4884","24","48.3","0.55","0","160","22","0","1","0","961"
"JosГ© MarГ­a GimГ©nez","defender","AtlГ©tico Madrid","f0da930c","23","2018","85","1.2","0.5","3","70","2","153","27","8","87.5","2011","68","27.2","0.31","0","92","68.8","1","0","0","529"
"JoГЈo Cancelo","defender","Juventus","bd6351cd","24","2018","84","1.7","4.7","22","58","0","51","44","85","71.8","7157","16","34.3","0.59","0","140","39.6","1","0","0","576"
"JoГЈo Moutinho","midfielder","Wolves","f5a00fa4","31","2018","84","0.7","6","26","153","0","65","10","23","56.5","5299","21","44.7","0.23","0","264","32.2","0","1","0","961"
"JoГЈo Pedro","forward","Cagliari","81255c03","26","2018","76","8.5","3.7","25","23","0","24","102","51","37.3","3130","38","32.7","-0.57","0","79","44.2","0","0","1","676"
"Juan Cuadrado","forward","Juventus","0ab1f153","30","2018","83","1.6","2.1","12","38","0","14","44","32","59.4","3607","22","18.2","0.35","0","76","47.1","0","0","1","900"
"Juanmi","forward","Real Sociedad","84399660","25","2018","77","6.6","1.1","11","37","0","10","58","19","84.2","1802","19","21.1","-0.06","0","62","41.3","0","0","1","625"
"Jules KoundГ©","defender","Bordeaux","4d1666ff","19","2018","76","1","0.9","20","98","7","245","24","15","86.7","8121","0","39.2","-0.36","0","226","56.9","1","0","0","361"
"Julian Brandt","midfielder","Leverkusen","a167537f","22","2018","84","8","8.9","44","44","1","12","112","97","56.7","7752","35","52.6","0.47","0","189","44.4","0","1","0","484"
"Julian Draxler","midfielder","Paris S-G","1a992676","24","2018","83","4.1","5","27","56","1","9","67","58","74.1","7091","23","52.3","1.23","0","140","60","0","1","0","576"
"Junior Sambia","midfielder","Montpellier","24eb7ed6","21","2018","69","2.1","1.4","14","20","0","4","29","48","60.4","2574","17","13.8","0","0","51","41.4","0","1","0","441"
"JГ©rГґme Roussillon","defender","Wolfsburg","13203c45","25","2018","82","1.7","4.8","42","73","0","75","38","80","61.3","5864","0","37.1","-0.09","0","151","45.3","1","0","0","625"
"JГіhann Berg GuГ°mundsson","midfielder","Burnley","f72293fc","27","2018","78","2.8","3.6","21","60","0","43","49","40","40","3073","19","23.8","-0.52","0","117","47.6","0","1","0","729"
"Kai Havertz","midfielder","Leverkusen","fed7cb61","19","2018","84","12.1","5","35","42","0","35","124","87","55.2","7385","45","56.6","0.47","0","160","47","0","1","0","361"
"Kalidou Koulibaly","defender","Napoli","da974c7b","27","2018","89","2.4","0.6","15","101","0","221","32","20","55","10351","0","55.4","0.59","0","249","58.6","1","0","0","729"
"Karim Bellarabi","forward","Leverkusen","bee0bab1","28","2018","82","3.3","5","30","23","0","4","46","39","51.3","3018","14","19.8","0.44","0","60","25","0","0","1","784"
"Karim Benzema","forward","Real Madrid","70d74ece","30","2018","87","17.7","4.5","29","32","0","27","202","74","63.5","5582","30","57.6","0.54","0","60","45.7","0","0","1","900"
"Karim Onisiwo","forward","Mainz 05","f26834c7","26","2018","75","5.6","2.5","11","32","0","12","79","38","39.5","1653","18","24.2","0.07","0","38","53.1","0","0","1","676"
"Karim Rekik","defender","Hertha BSC","3376a776","23","2018","78","0.6","0.2","7","70","0","137","8","5","80","3920","0","33.5","-0.52","0","118","53.9","1","0","0","529"
"Karol Linetty","midfielder","Sampdoria","d023d70f","23","2018","76","2.1","2.2","33","97","0","33","46","42","45.2","4733","53","34.8","-0.15","0","173","37.5","0","1","0","529"
"Kelechi Iheanacho","forward","Leicester City","c92e1a31","21","2018","73","2.1","1.1","7","8","0","2","34","17","52.9","1135","13","16.1","0.32","0","34","28","0","0","1","441"
"Kerem Demirbay","midfielder","Hoffenheim","54b4dc4e","25","2018","82","4.5","7.7","21","79","0","63","32","76","76.3","6464","42","50.9","0.83","0","191","44.7","0","1","0","625"
"Kevin Akpoguma","defender","Hoffenheim","6ec6fde0","23","2018","75","0","0.1","5","35","2","37","0","1","100","841","24","9.9","-0.44","0","31","41.7","1","0","0","529"
"Kevin Bonifazi","defender","SPAL","fb77bfef","22","2018","71","0.6","0.4","10","76","0","188","12","29","79.3","5550","22","29.1","-0.28","0","170","55.8","1","0","0","484"
"Kevin De Bruyne","midfielder","Manchester City","e46012d4","27","2018","91","1.4","3.3","22","25","1","7","41","27","70.4","3319","21","24.8","1.72","0","61","35.3","0","1","0","729"
"Kevin Kampl","midfielder","RB Leipzig","b825a650","27","2018","83","1.8","3.9","35","74","0","24","22","33","75.8","6300","26","47.1","0.72","0","180","55.2","0","1","0","729"
"Kevin Lasagna","forward","Udinese","09538fdb","25","2018","77","8.5","1.3","19","14","0","39","120","23","39.1","2343","22","32.4","-0.39","0","73","43","0","0","1","625"
"Kevin Long","defender","Burnley","5a4280b1","27","2018","73","0.1","0","3","25","1","44","3","1","100","465","63","4.7","-0.89","0","24","54.1","1","0","0","729"
"Kevin Strootman","midfielder","Marseille","ef2e5e1a","28","2018","80","2","1.9","17","100","0","31","25","13","76.9","3420","15","29","0.07","0","124","50.6","0","1","0","784"
"Kevin Vogt","defender","Hoffenheim","1d8e9add","26","2018","80","0.2","0.6","4","57","3","183","7","4","75","6023","0","61.3","0.85","0","183","61.7","1","0","0","676"
"Kevin Volland","forward","Leverkusen","64f69877","26","2018","82","13.8","6.8","43","39","0","37","161","56","55.4","3139","19","55.4","0.49","0","89","37.4","0","0","1","676"
"Kieran Trippier","defender","Tottenham","21512407","27","2018","80","0.5","4.7","51","90","2","83","25","15","46.7","3518","21","35.2","0.22","1","166","51.8","1","0","0","729"
"Kingsley Coman","forward","Bayern Munich","042e8a49","22","2018","84","4","3.9","28","16","0","2","87","91","65.9","5079","22","38","1.67","0","76","46.2","0","0","1","484"
"Koffi Djidji","defender","Torino","933d3b51","25","2018","75","0.1","0.1","2","61","1","104","1","15","100","2001","9","18","-0.36","0","97","42.6","1","0","0","625"
"Koke","midfielder","AtlГ©tico Madrid","55126f3b","26","2018","85","1.5","6.1","27","115","1","48","27","17","76.5","4773","24","37.6","0.2","0","176","46.9","0","1","0","676"
"Konrad Laimer","forward","RB Leipzig","c1b7847c","21","2018","77","2.5","2.4","29","104","0","23","50","55","58.2","2780","22","33.9","0.45","0","158","40.8","0","0","1","441"
"Kurt Zouma","defender","Everton","ce4246f5","23","2018","80","1.5","0.6","9","86","2","147","37","8","87.5","5166","0","38.1","0.16","0","158","65.8","1","0","0","529"
"Kyle Walker","defender","Manchester City","86dd77d1","28","2018","84","0.8","2.4","35","76","2","82","32","34","52.9","8827","26","65.2","1.47","0","170","64.3","1","0","0","784"
"Kyle Walker-Peters","defender","Tottenham","984a5a64","21","2018","74","0.3","0.6","8","11","0","9","7","11","81.8","927","7","6.5","0.05","0","20","25","1","0","0","441"
"Kylian MbappГ©","forward","Paris S-G","42fd9c7f","19","2018","89","28","5.4","21","13","0","0","212","118","55.1","5250","39","67.2","1.68","0","44","12.5","0","0","1","361"
"KГ©vin Gameiro","forward","Valencia","42276181","31","2018","81","8.8","3.4","26","19","0","6","95","26","46.2","2368","22","27.8","0.33","0","43","20.8","0","0","1","961"
"KГ©vin N'Doram","forward","Monaco","e50623a0","22","2018","70","0.2","0","1","10","1","5","1","0","0","552","8","3.8","0.49","0","7","85.7","0","0","1","484"
"KГ©vin Rodrigues","defender","Real Sociedad","f1bed920","24","2018","74","0.1","0.3","5","29","0","31","2","13","69.2","762","16","6.1","-0.21","0","31","31.6","1","0","0","576"
"Lars Stindl","forward","M'Gladbach","7cd6badb","29","2018","80","2.3","2","19","35","0","20","45","28","57.1","2177","6","22.5","-0.03","0","61","47.5","0","0","1","841"
"Leon Bailey","forward","Leverkusen","3a233281","20","2018","82","5","4.7","45","29","0","17","87","77","68.8","4893","30","33.9","0.22","0","126","48.1","0","0","1","400"
"Leon Goretzka","midfielder","Bayern Munich","cc86b9a3","23","2018","84","6.3","2","21","67","1","30","72","22","68.2","4333","22","57.1","1.73","1","131","43","0","1","0","529"
"Leonardo Bonucci","defender","Juventus","52ec54d0","31","2018","86","2.1","1.1","6","56","3","174","18","3","100","4808","46","42.8","0.58","0","118","44.8","1","0","0","961"
"Leonardo Pavoletti","forward","Cagliari","d37b0350","29","2018","78","11.3","1.1","17","39","0","27","138","14","64.3","1502","29","34.9","-0.38","0","88","62","0","0","1","841"
"Leonardo Spinazzola","defender","Juventus","3626daea","25","2018","79","0.3","0.8","8","12","0","13","24","18","61.1","2384","23","9.6","0.49","0","34","73.3","1","0","0","625"
"Leroy SanГ©","forward","Manchester City","2b114be3","22","2018","86","6.7","7.2","35","32","0","7","176","102","53.9","5221","20","49.8","1.72","0","91","30.3","0","0","1","484"
"Levin Г–ztunalД±","midfielder","Mainz 05","66385c46","22","2018","73","0.5","1","17","24","0","11","18","26","61.5","1653","23","11.1","-0.74","0","55","33.3","0","1","0","484"
"Lewis Dunk","defender","Brighton","282f75f3","26","2018","78","1.8","0.7","16","88","5","295","44","4","0","4521","0","32","-0.66","0","206","65.4","1","0","0","676"
"Lionel Messi","forward","Barcelona","d70ce98e","31","2018","94","23.8","14","37","15","0","1","164","224","59.8","10546","33","60.4","0.85","0","69","41.2","0","0","1","961"
"Lorenzo De Silvestri","defender","Torino","e74f0e59","30","2018","75","2.8","2.7","49","37","2","75","67","15","33.3","3217","16","32.7","0.04","0","102","56.6","1","0","0","900"
"Lorenzo Insigne","forward","Napoli","2f557579","27","2018","87","9.9","4","23","22","0","8","107","48","54.2","5749","25","36.3","0.65","0","71","30","0","0","1","729"
"Lorenzo Pellegrini","midfielder","Roma","4a5a45c7","22","2018","79","4.2","4.1","21","51","0","28","53","42","61.9","3543","37","32.9","0.22","0","106","42.2","0","1","0","484"
"Lorenzo Tonelli","defender","Sampdoria","8cc29864","28","2018","77","0.9","0.3","10","55","0","143","12","6","100","4207","63","20.3","-0.44","1","78","54.1","1","0","0","784"
"Lucas Alario","forward","Leverkusen","834d0be5","25","2018","79","6.7","1.3","18","16","0","14","80","15","33.3","1102","22","22.9","0.33","0","37","35.7","0","0","1","625"
"Lucas Digne","defender","Everton","1b84dbe1","25","2018","83","1.3","5.3","77","131","0","119","32","30","46.7","5214","7","44.1","0.16","1","181","66.9","1","0","0","625"
"Lucas HernГЎndez","defender","AtlГ©tico Madrid","c3ee18ef","22","2018","84","0.8","0.7","14","49","0","52","15","10","60","2331","51","13.2","0.03","0","67","61.8","1","0","0","484"
"Lucas HГ¶ler","forward","Freiburg","ca618d23","24","2018","72","3.9","0.5","13","21","2","11","40","27","33.3","1636","13","15.9","-0.57","0","42","31.1","0","0","1","576"
"Lucas Ocampos","forward","Marseille","a08b974a","24","2018","77","5.7","3.3","30","109","0","34","118","138","47.8","6117","34","44.6","0.39","0","185","41.1","0","0","1","576"
"Lucas Torreira","midfielder","Arsenal","52611641","22","2018","82","1.5","1.6","24","106","2","76","23","21","61.9","5115","34","41","0.11","0","220","43.5","0","1","0","484"
"Lucas Tousart","midfielder","Lyon","71ec39ef","21","2018","78","0.9","0.7","8","100","0","38","9","13","76.9","3392","16","34.1","0.81","1","127","44.3","0","1","0","441"
"Lucas VГЎzquez","forward","Real Madrid","fd51b456","27","2018","81","2.6","4.5","33","55","0","14","85","58","56.9","4086","18","30.3","0.72","0","82","24.1","0","0","1","729"
"Ludovic Blas","midfielder","Guingamp","6191093d","20","2018","76","3.3","2.5","17","88","0","20","47","86","66.3","4740","22","26.6","-0.33","0","158","35.6","0","1","0","400"
"Ludwig Augustinsson","defender","Werder Bremen","9fec8860","24","2018","76","1.5","3.5","54","91","1","86","64","24","50","5175","0","49.2","-0.16","0","170","48.1","1","0","0","576"
"Luis Alberto","midfielder","Lazio","5294a83f","25","2018","84","4.2","5.5","39","63","0","11","51","41","58.5","6301","21","35","0.53","0","117","40","0","1","0","625"
"Luis Muriel","forward","Fiorentina","eb2fe5b6","27","2018","80","3.5","1.7","13","22","0","4","54","59","52.5","2740","27","20.8","0.07","0","54","28.3","0","0","1","729"
"Luis SuГЎrez","forward","Barcelona","a6154613","31","2018","89","23.1","5.9","39","26","0","33","240","90","40","4305","30","67.6","0.96","0","69","68.8","0","0","1","961"
"Luiz Felipe","defender","Lazio","15d0c248","21","2018","77","0.6","0.4","8","53","1","101","9","5","60","3350","55","22.7","0.23","0","59","53.7","1","0","0","441"
"Luka JoviД‡","forward","Eint Frankfurt","4d8cd038","20","2018","83","14.9","2.4","24","13","0","34","146","45","55.6","2744","27","43.5","0.33","0","74","43.1","0","0","1","400"
"Luka MilivojeviД‡","midfielder","Crystal Palace","2ce2508a","27","2018","81","10.9","3.3","32","162","3","114","23","21","61.9","5322","0","47.6","-0.07","0","194","59.3","0","1","0","729"
"Luka ModriД‡","midfielder","Real Madrid","6025fab1","32","2018","90","2.7","3.7","34","80","1","20","50","83","65.1","8684","22","45.5","0.32","0","158","46.2","0","1","0","1024"
"Lukas Klostermann","defender","RB Leipzig","ca8033cb","22","2018","79","2","2.7","31","79","0","74","40","16","43.8","2858","18","39.6","0.51","0","123","60.9","1","0","0","484"
"Lukas KlГјnter","defender","Hertha BSC","92948149","22","2018","70","0.2","0.5","8","23","0","24","6","20","50","1371","13","9.1","-0.31","0","30","53.3","1","0","0","484"
"Lukas KГјbler","forward","Freiburg","2a29eb9b","25","2018","71","0.2","1","17","65","1","53","9","9","66.7","1256","2","15.1","-0.1","0","65","53.5","0","0","1","625"
"Luke Shaw","defender","Manchester Utd","9c94165b","23","2018","81","1.4","3.4","50","76","2","110","44","38","71.1","5204","0","47.8","0.35","0","143","64","1","0","0","529"
"Lyanco","defender","Bologna","b5bf1770","21","2018","73","0.4","0.2","4","51","0","100","8","16","56.3","2314","0","20.3","0.53","0","103","50.9","1","0","0","441"
"LГЎszlГі BГ©nes","midfielder","M'Gladbach","fe888e39","20","2018","75","0","0","1","3","0","1","0","0","0","44","26","0.1","-8.7","0","3","0","0","1","0","400"
"M'Baye Niang","forward","Rennes","2054d037","23","2018","77","7.8","1.8","20","24","0","17","94","52","34.6","3243","24","26.9","0.2","0","80","54.6","0","0","1","529"
